name,language,person,people,currency
Afghan,Pashto and Dari,An Afghan,Afghans,AFN
Albanian,Albanian,An Albanian,Albanians,ALL
Algerian,Arabic and Berber,An Algerian,Algerians,DZD
Andorran,Catalan,An Andorran,Andorrans,EUR
Angolan,Portuguese,An Angolan,Angolans,AOA
Barbudan,English,A Barbudan,Barbudans,XCD
Antiguan,English,An Antiguan,Antiguans,XCD
Argentinean,Spanish,An Argentinean,Argentineans,ARS
Armenian,Armenian,An Armenian,Armenians,AMD
Australian,English,An Australian,Australians,AUD
Austrian,German,An Austrian,Austrians,EUR
Azerbaijani,Azerbaijani,An Azerbaijani,Azerbaijanis,AZN
Bahamian,English,A Bahamian,Bahamians,BSD
Bahraini,Arabic,A Bahraini,Bahrainis,BHD
Bangladeshi,Bengali,A Bangladeshi,Bangladeshis,BDT
Barbadian,English,A Barbadian,Barbadians,BBD
Batswana,English,A Batswana,Batswanas,BWP
Belarusian,Russian and Belarussian,A Belarusian,Belarusians,BYN
Belgian,"French, Dutch, and German",A Belgian,Belgians,EUR
Belizean,English,A Belizean,Belizeans,BZD
Beninese,French,A Beninese,Beninese,XOF
Bhutanese,Dzongkha,A Bhutanese,Bhutanesi,BTN
Bolivian,Spanish,A Bolivian,Bolivians,BOB
Bosnian,"Bosnian, Serbian, and Croatian",A Bosnian,Bosnians,BAM
Herzegovinian,"Bosnian, Serbian, and Croatian",A Herzegovinian,Herzegovinians,BAM
Motswana,English and Tswana,A Motswana,Motswanas,BWP
Brazilian,Portuguese,A Brazilian,Brazilians,BRL
Bruneian,Malay and English,A Bruneian,Bruneians,BND
Bulgarian,Bulgarian,A Bulgarian,Bulgarians,BGN
Burkinabe,French,A Burkinabe,Burkinabes,XOF
Burundian,"Kirundi, French, and English",A Burundian,Burundians,BIF
Cambodian,Khmer,A Cambodian,Cambodians,KHR
Cameroonian,French and English,A Cameroonian,Cameroonians,XAF
Canadian,French and English,A Canadian,Canadians,CAD
Cape Verdean,Portuguese,A Cape Verdean,Cape Verdeans,CVE
Central African,French and Sango,A Central African,Central Africans,XAF
Chadian,French and Arabic,A Chadian,Chadians,XAF
Chilean,Spanish,A Chilean,Chileans,CLP
Chinese,Chinese,A Chinese,Chinese,CNY
Colombian,Spanish,A Colombian,Colombians,COP
Comoran,"French, Arabic, and Comorian",A Comoran,Comorans,KMF
Congolese,French,A Congolese,Congolese,XAF
Costa Rican,Spanish,A Costa Rican,Costa Ricans,CRC
Croatian,Croatian,A Croatian,Croatians,HRK
Cuban,Spanish,A Cuban,Cubans,CUP
Cypriot,Greek and Turkish,A Cypriot,Cypriots,EUR
Czech,Czech and Slovak,A Czech,Czechs,CZK
Danish,Danish,A Danish,Danishes,DKK
