state,city,zip
"Connacht, IE","Knock, IE","F12, IE"
"Connacht, IE","Castlebar, IE","F23, IE"
"Connacht, IE","Ballina, IE","F26, IE"
"Connacht, IE","Westport, IE","F28, IE"
"Connacht, IE","Ballinrobe, IE","F31, IE"
"Connacht, IE","Ballyhaunis, IE","F35, IE"
"Connacht, IE","Roscommon, IE","F42, IE"
"Connacht, IE","Castlerea, IE","F45, IE"
"Connacht, IE","Boyle, IE","F52, IE"
"Connacht, IE","Ballymote, IE","F56, IE"
"Connacht, IE","Sligo, IE","F91, IE"
"Connacht, IE","Ballinasloe, IE","H53, IE"
"Connacht, IE","Tuam, IE","H54, IE"
"Connacht, IE","Loughrea, IE","H62, IE"
"Connacht, IE","Athenry, IE","H65, IE"
"Connacht, IE","Clifden, IE","H71, IE"
"Connacht, IE","Galway, IE","H91, IE"
"Connacht, IE","Carrick On Shannon, IE","N41, IE"
"Leinster, IE","Ballyboughal, IE","A41, IE"
"Leinster, IE","Garristown, IE","A42, IE"
"Leinster, IE","Oldtown, IE","A45, IE"
"Leinster, IE","Greystones, IE","A63, IE"
"Leinster, IE","Wicklow, IE","A67, IE"
"Leinster, IE","Kells, IE","A82, IE"
"Leinster, IE","Enfield, IE","A83, IE"
"Leinster, IE","Ashbourne, IE","A84, IE"
"Leinster, IE","Dunshaughlin, IE","A85, IE"
"Leinster, IE","Dunboyne, IE","A86, IE"
"Leinster, IE","Dundalk, IE","A91, IE"
"Leinster, IE","Drogheda, IE","A92, IE"
"Leinster, IE","Blackrock, IE","A94, IE"
"Leinster, IE","Dun Laoghaire, IE","A96, IE"
"Leinster, IE","Bray, IE","A98, IE"
"Leinster, IE","Trim, IE","C15, IE"
"Leinster, IE","Dublin 1, IE","D01, IE"
"Leinster, IE","Dublin 2, IE","D02, IE"
"Leinster, IE","Dublin 3, IE","D03, IE"
"Leinster, IE","Dublin 4, IE","D04, IE"
"Leinster, IE","Dublin 5, IE","D05, IE"
"Leinster, IE","Dublin 6, IE","D06, IE"
"Leinster, IE","Dublin 7, IE","D07, IE"
"Leinster, IE","Dublin 8, IE","D08, IE"
"Leinster, IE","Dublin 9, IE","D09, IE"
"Leinster, IE","Dublin 10, IE","D10, IE"
"Leinster, IE","Dublin 11, IE","D11, IE"
"Leinster, IE","Dublin 12, IE","D12, IE"
"Leinster, IE","Dublin 13, IE","D13, IE"
"Leinster, IE","Dublin 14, IE","D14, IE"
"Leinster, IE","Dublin 15, IE","D15, IE"
"Leinster, IE","Dublin 16, IE","D16, IE"
"Leinster, IE","Dublin 17, IE","D17, IE"
"Leinster, IE","Dublin 18, IE","D18, IE"
"Leinster, IE","Dublin 20, IE","D20, IE"
"Leinster, IE","Dublin 22, IE","D22, IE"
"Leinster, IE","Dublin 24, IE","D24, IE"
"Leinster, IE","Dublin 6W, IE","D6W, IE"
"Leinster, IE","Balbriggan, IE","K32, IE"
"Leinster, IE","Skerries, IE","K34, IE"
"Leinster, IE","Malahide, IE","K36, IE"
"Leinster, IE","Lusk, IE","K45, IE"
"Leinster, IE","Rush, IE","K56, IE"
"Leinster, IE","Swords, IE","K67, IE"
"Leinster, IE","Lucan, IE","K78, IE"
"Leinster, IE","Athlone, IE","N37, IE"
