state,city,town,zip
"Abruzzi, IT","Barete, IT","L'Aquila, IT","67010, IT"
"Abruzzi, IT","Cagnano Amiterno, IT","L'Aquila, IT","67012, IT"
"Abruzzi, IT","San Giovanni, IT","L'Aquila, IT","67012, IT"
"Abruzzi, IT","Poggio Cancelli, IT","L'Aquila, IT","67013, IT"
"Abruzzi, IT","Campotosto, IT","L'Aquila, IT","67013, IT"
"Abruzzi, IT","Mascioni, IT","L'Aquila, IT","67013, IT"
"Abruzzi, IT","Ortolano, IT","L'Aquila, IT","67013, IT"
"Abruzzi, IT","Capitignano, IT","L'Aquila, IT","67014, IT"
"Abruzzi, IT","Marana Di Montereale, IT","L'Aquila, IT","67015, IT"
"Abruzzi, IT","San Giovanni Paganica, IT","L'Aquila, IT","67015, IT"
"Abruzzi, IT","Marana, IT","L'Aquila, IT","67015, IT"
"Abruzzi, IT","Aringo, IT","L'Aquila, IT","67015, IT"
"Abruzzi, IT","Ville Di Fano, IT","L'Aquila, IT","67015, IT"
"Abruzzi, IT","Montereale, IT","L'Aquila, IT","67015, IT"
"Abruzzi, IT","Cesaproba, IT","L'Aquila, IT","67015, IT"
"Abruzzi, IT","San Lorenzo Di Pizzoli, IT","L'Aquila, IT","67017, IT"
"Abruzzi, IT","Pizzoli, IT","L'Aquila, IT","67017, IT"
"Abruzzi, IT","Marruci, IT","L'Aquila, IT","67017, IT"
"Abruzzi, IT","Sella Di Corno, IT","L'Aquila, IT","67019, IT"
"Abruzzi, IT","Vigliano, IT","L'Aquila, IT","67019, IT"
"Abruzzi, IT","Scoppito, IT","L'Aquila, IT","67019, IT"
"Abruzzi, IT","Fossa, IT","L'Aquila, IT","67020, IT"
"Abruzzi, IT","San Benedetto In Perillis, IT","L'Aquila, IT","67020, IT"
"Abruzzi, IT","Goriano Valli, IT","L'Aquila, IT","67020, IT"
"Abruzzi, IT","Villa Sant'Angelo, IT","L'Aquila, IT","67020, IT"
"Abruzzi, IT","Prata D'Ansidonia, IT","L'Aquila, IT","67020, IT"
"Abruzzi, IT","Castelnuovo, IT","L'Aquila, IT","67020, IT"
"Abruzzi, IT","Gagliano Aterno, IT","L'Aquila, IT","67020, IT"
"Abruzzi, IT","Sant'Eusanio Forconese, IT","L'Aquila, IT","67020, IT"
"Abruzzi, IT","Roccapreturo, IT","L'Aquila, IT","67020, IT"
"Abruzzi, IT","Carapelle Calvisio, IT","L'Aquila, IT","67020, IT"
"Abruzzi, IT","Calascio, IT","L'Aquila, IT","67020, IT"
"Abruzzi, IT","San Pio Delle Camere, IT","L'Aquila, IT","67020, IT"
"Abruzzi, IT","Castelnuovo Di San Pio Delle Camere, IT","L'Aquila, IT","67020, IT"
