state,city,town,zip
"Aizkraukles nov., LV","Aizkraukles stacija, LV","Aizkraukles pag., LV","LV-5101, LV"
"Aizkraukles nov., LV","Aizkraukle, LV","Aizkraukles pag., LV","LV-5101, LV"
"Aizkraukles nov., LV","Jaunjelgavas, LV","Jaunjelgavas pag., LV","LV-5134, LV"
"Aizkraukles nov., LV","Daudzese, LV","Daudzeses pag., LV","LV-5111, LV"
"Aizkraukles nov., LV","Daudzeva, LV","Daudzeses pag., LV","LV-5111, LV"
"Aizkraukles nov., LV","Ziedāni, LV","Seces pag., LV","LV-5124, LV"
"Aizkraukles nov., LV","Sece, LV","Seces pag., LV","LV-5124, LV"
"Aizkraukles nov., LV","Bitāni, LV","Seces pag., LV","LV-5124, LV"
"Aizkraukles nov., LV","Purviņi, LV","Seces pag., LV","LV-5124, LV"
"Aizkraukles nov., LV","Mellēni, LV","Sērenes pag., LV","LV-5123, LV"
"Aizkraukles nov., LV","Dīķi, LV","Sērenes pag., LV","LV-5123, LV"
"Aizkraukles nov., LV","Talsiņi, LV","Sērenes pag., LV","LV-5123, LV"
"Aizkraukles nov., LV","Sērene, LV","Sērenes pag., LV","LV-5123, LV"
"Aizkraukles nov., LV","Lielziedi, LV","Sērenes pag., LV","LV-5123, LV"
"Aizkraukles nov., LV","Staburags, LV","Staburaga pag., LV","LV-5128, LV"
"Aizkraukles nov., LV","Sunākste, LV","Sunākstes pag., LV","LV-5130, LV"
"Aizkraukles nov., LV","Īvāni, LV","Aiviekstes pag., LV","LV-5120, LV"
"Aizkraukles nov., LV","Krievciems, LV","Aiviekstes pag., LV","LV-5120, LV"
"Aizkraukles nov., LV","Kriškalni, LV","Aiviekstes pag., LV","LV-5120, LV"
"Aizkraukles nov., LV","Maiļupsala, LV","Aiviekstes pag., LV","LV-5120, LV"
"Aizkraukles nov., LV","Ķūģi, LV","Aiviekstes pag., LV","LV-5120, LV"
"Aizkraukles nov., LV","Rīteri, LV","Klintaines pag., LV","LV-5129, LV"
"Aizkraukles nov., LV","Stukmaņi, LV","Klintaines pag., LV","LV-5129, LV"
"Aizkraukles nov., LV","Odziena, LV","Vietalvas pag., LV","LV-5109, LV"
"Aizkraukles nov., LV","Vietalva, LV","Vietalvas pag., LV","LV-5109, LV"
"Aizkraukles nov., LV","Vecbebri, LV","Bebru pag., LV","LV-5135, LV"
"Aizkraukles nov., LV","Irši, LV","Iršu pag., LV","LV-5108, LV"
"Aizkraukles nov., LV","Bormaņi, LV","Kokneses pag., LV","LV-5113, LV"
"Aizkraukles nov., LV","Koknese, LV","Kokneses pag., LV","LV-5113, LV"
"Aizkraukles nov., LV","Ērberģe, LV","Mazzalves pag., LV","LV-5133, LV"
"Aizkraukles nov., LV","Nereta, LV","Neretas pag., LV","LV-5118, LV"
"Aizkraukles nov., LV","Pilskalne, LV","Pilskalnes pag., LV","LV-5110, LV"
"Aizkraukles nov., LV","Vērtūži, LV","Zalves pag., LV","LV-5112, LV"
"Aizkraukles nov., LV","Zalve, LV","Zalves pag., LV","LV-5112, LV"
"Aizkraukles nov., LV","Sproģi, LV","Zalves pag., LV","LV-5112, LV"
"Aizkraukles nov., LV","Zemkopības institūts, LV",", LV","LV-5125, LV"
"Aizkraukles nov., LV","Klidziņa, LV",", LV","LV-5125, LV"
"Aizkraukles nov., LV","Ziedugravas, LV",", LV","LV-5125, LV"
"Aizkraukles nov., LV","Skrīveri, LV",", LV","LV-5125, LV"
"Aizkraukles nov., LV","Līči, LV",", LV","LV-5125, LV"
"Alūksnes nov., LV","Aizupītes, LV","Alsviķu pag., LV","LV-4301, LV"
"Alūksnes nov., LV","Alsviķi, LV","Alsviķu pag., LV","LV-4333, LV"
"Alūksnes nov., LV","Pullans, LV","Alsviķu pag., LV","LV-4333, LV"
"Alūksnes nov., LV","Strautiņi, LV","Alsviķu pag., LV","LV-4333, LV"
"Alūksnes nov., LV","Anna, LV","Annas pag., LV","LV-4341, LV"
"Alūksnes nov., LV","Jaunzemi, LV","Ilzenes pag., LV","LV-4344, LV"
"Alūksnes nov., LV","Beja, LV","Jaunalūksnes pag., LV","LV-4350, LV"
"Alūksnes nov., LV","Kolberģis, LV","Jaunalūksnes pag., LV","LV-4350, LV"
"Alūksnes nov., LV","Jaunanna, LV","Jaunannas pag., LV","LV-4340, LV"
"Alūksnes nov., LV","Jaunlaicene, LV","Jaunlaicenes pag., LV","LV-4336, LV"
"Alūksnes nov., LV","Kalncempji, LV","Kalncempju pag., LV","LV-4342, LV"
"Alūksnes nov., LV","Liepna, LV","Liepnas pag., LV","LV-4354, LV"
"Alūksnes nov., LV","Brenci, LV","Malienas pag., LV","LV-4359, LV"
"Alūksnes nov., LV","Mālupe, LV","Mālupes pag., LV","LV-4358, LV"
"Alūksnes nov., LV","Sofikalns, LV","Mālupes pag., LV","LV-4358, LV"
"Alūksnes nov., LV","Mārkalne, LV","Mārkalnes pag., LV","LV-4351, LV"
"Alūksnes nov., LV","Pededze, LV","Pededzes pag., LV","LV-4352, LV"
"Alūksnes nov., LV","Korneti, LV","Veclaicenes pag., LV","LV-4335, LV"
"Alūksnes nov., LV","Zeltiņi, LV","Zeltiņu pag., LV","LV-4345, LV"
"Alūksnes nov., LV","Māriņkalns, LV","Ziemera pag., LV","LV-4332, LV"
"Alūksnes nov., LV","Ziemeri, LV","Ziemera pag., LV","LV-4332, LV"
"Balvu nov., LV","Vaņki, LV","Balvu pag., LV","LV-4501, LV"
"Balvu nov., LV","Verpuļeva, LV","Balvu pag., LV","LV-4501, LV"
"Balvu nov., LV","Lemešava, LV","Balvu pag., LV","LV-4501, LV"
"Balvu nov., LV","Salmaņi, LV","Balvu pag., LV","LV-4501, LV"
"Balvu nov., LV","Žaugupe, LV","Balvu pag., LV","LV-4501, LV"
"Balvu nov., LV","Centramuiža, LV","Balvu pag., LV","LV-4501, LV"
"Balvu nov., LV","Stepjugabali, LV","Balvu pag., LV","LV-4501, LV"
"Balvu nov., LV","Lāčugabali, LV","Balvu pag., LV","LV-4561, LV"
"Balvu nov., LV","Mēķi, LV","Balvu pag., LV","LV-4561, LV"
"Balvu nov., LV","Dobenieki, LV","Balvu pag., LV","LV-4561, LV"
"Balvu nov., LV","Lācupe, LV","Balvu pag., LV","LV-4561, LV"
"Balvu nov., LV","Dzeņulauza, LV","Balvu pag., LV","LV-4561, LV"
"Balvu nov., LV","Keņi, LV","Balvu pag., LV","LV-4561, LV"
"Balvu nov., LV","Reči, LV","Balvu pag., LV","LV-4561, LV"
"Balvu nov., LV","Naudaskalns, LV","Balvu pag., LV","LV-4561, LV"
"Balvu nov., LV","Dūrupe, LV","Balvu pag., LV","LV-4561, LV"
"Balvu nov., LV","Kārklinieki, LV","Balvu pag., LV","LV-4561, LV"
"Balvu nov., LV","Āžudambis, LV","Balvu pag., LV","LV-4561, LV"
"Balvu nov., LV","Plītinava, LV","Balvu pag., LV","LV-4561, LV"
"Balvu nov., LV","Silamala, LV","Balvu pag., LV","LV-4561, LV"
