state,city,zip
"Vaduz, LI","Vaduz, LI","9490, LI"
"Triesen, LI","Triesen, LI","9495, LI"
"Balzers, LI","Balzers, LI","9496, LI"
"Triesenberg, LI","Triesenberg, LI","9497, LI"
"Schaan, LI","Schaan, LI","9494, LI"
"Planken, LI","Planken, LI","9498, LI"
"Eschen, LI","Nendeln, LI","9485, LI"
"Eschen, LI","Eschen, LI","9492, LI"
"Mauren, LI","Schaanwald, LI","9486, LI"
"Mauren, LI","Mauren FL, LI","9493, LI"
"Gamprin, LI","Gamprin-Bendern, LI","9487, LI"
"Ruggell, LI","Ruggell, LI","9491, LI"
"Schellenberg, LI","Schellenberg, LI","9488, LI"
