state,city,town,zip
"Alytus County, LT","SB „Sakalas“, LT","Alytaus m. sav., LT","62001, LT"
"Alytus County, LT","SB „Šilas“, LT","Alytaus m. sav., LT","62001, LT"
"Alytus County, LT","SB „Pušelė“, LT","Alytaus m. sav., LT","62001, LT"
"Alytus County, LT","SB „Rugelis“, LT","Alytaus m. sav., LT","62001, LT"
"Alytus County, LT","SB „Dobilas“, LT","Alytaus m. sav., LT","62001, LT"
"Alytus County, LT","SB „Volungėlė“, LT","Alytaus m. sav., LT","62001, LT"
"Alytus County, LT","Alytus, LT","Alytaus m. sav., LT","62001, LT"
"Alytus County, LT","Kaniūkų k., LT","Alytaus m. sav., LT","62001, LT"
"Alytus County, LT","Alytus, LT","Alytaus m. sav., LT","62014, LT"
"Alytus County, LT","Alytus, LT","Alytaus m. sav., LT","63001, LT"
"Alytus County, LT","Miciūnų k., LT","Druskininkų sav., LT","66001, LT"
"Alytus County, LT","Druskininkai, LT","Druskininkų sav., LT","66001, LT"
"Alytus County, LT","Mašnyčių k., LT","Druskininkų sav., LT","66001, LT"
"Alytus County, LT","Randamonių k., LT","Druskininkų sav., LT","66001, LT"
"Alytus County, LT","Ringėliškės k., LT","Druskininkų sav., LT","66001, LT"
"Alytus County, LT","SB „Raigardas“, LT","Druskininkų sav., LT","66001, LT"
"Alytus County, LT","Snaigupės k., LT","Druskininkų sav., LT","66001, LT"
"Alytus County, LT","Žiogelių k., LT","Druskininkų sav., LT","66001, LT"
"Alytus County, LT","SB „Dainava“, LT","Druskininkų sav., LT","66001, LT"
"Alytus County, LT","Gailiūnų k., LT","Druskininkų sav., LT","66001, LT"
"Alytus County, LT","Jaskonių k., LT","Druskininkų sav., LT","66001, LT"
"Alytus County, LT","Grūto k., LT","Druskininkų sav., LT","66001, LT"
"Alytus County, LT","Kermušijos k., LT","Druskininkų sav., LT","66001, LT"
"Alytus County, LT","Latežerio k., LT","Druskininkų sav., LT","66001, LT"
"Alytus County, LT","Švendubrės k., LT","Druskininkų sav., LT","66001, LT"
"Alytus County, LT","Naujasodės k., LT","Druskininkų sav., LT","66001, LT"
"Alytus County, LT","Neravų k., LT","Druskininkų sav., LT","66001, LT"
"Alytus County, LT","Neravų k., LT","Druskininkų sav., LT","66007, LT"
"Alytus County, LT","Viečiūnų k., LT","Druskininkų sav., LT","66007, LT"
"Alytus County, LT","SB „Papartis“, LT","Druskininkų sav., LT","66007, LT"
"Alytus County, LT","Paseirės k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Taikūnų k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Tautėnų k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Vaikšnoriškės k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Varnėnų k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Veršių k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Vileikių k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Vilkanastrų k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Vilkininkų k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Savanorių k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Cimaniūnų k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Degėsių k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Didžiasalio k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Drapalių k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Margų k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Mažonių k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Panemunės k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Guobinių k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Radvilonių k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Raudonikių k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Stračiūnų k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Leipalingio k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Kaziulių k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Karalinavos k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Kamorūnų k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Jovaišių k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Janavo k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Zasciūniškės k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Voverių k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Šaulėnų k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Saltoniškės k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Ricielių k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Liepiškių k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Dulgininkų k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Druskininkėlių k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Černiauskų k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Beržinių k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Barzdžiūnų k., LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Leipalingis, LT","Druskininkų sav., LT","67027, LT"
"Alytus County, LT","Lipliūnų k., LT","Druskininkų sav., LT","67035, LT"
"Alytus County, LT","Krivonių k., LT","Druskininkų sav., LT","67035, LT"
"Alytus County, LT","Guronių k., LT","Druskininkų sav., LT","67035, LT"
"Alytus County, LT","Gerdašių k., LT","Druskininkų sav., LT","67035, LT"
"Alytus County, LT","Varviškės k., LT","Druskininkų sav., LT","67035, LT"
"Alytus County, LT","Diržų k., LT","Druskininkų sav., LT","67035, LT"
"Alytus County, LT","Bugiedos k., LT","Druskininkų sav., LT","67035, LT"
"Alytus County, LT","Baltosios Ančios k., LT","Druskininkų sav., LT","67035, LT"
"Alytus County, LT","Sventijansko k., LT","Druskininkų sav., LT","67035, LT"
"Alytus County, LT","Sirguškės k., LT","Druskininkų sav., LT","67035, LT"
"Alytus County, LT","Simaniškės k., LT","Druskininkų sav., LT","67035, LT"
"Alytus County, LT","Mizarų k., LT","Druskininkų sav., LT","67035, LT"
"Alytus County, LT","Macevičių k., LT","Druskininkų sav., LT","67035, LT"
"Alytus County, LT","Gervėnų k., LT","Alytaus r. sav., LT","62001, LT"
"Alytus County, LT","Geištarukų k., LT","Alytaus r. sav., LT","62001, LT"
"Alytus County, LT","Geištarų k., LT","Alytaus r. sav., LT","62001, LT"
"Alytus County, LT","Jurgiškių k., LT","Alytaus r. sav., LT","62001, LT"
"Alytus County, LT","Aniškio k., LT","Alytaus r. sav., LT","62001, LT"
"Alytus County, LT","Arminų k., LT","Alytaus r. sav., LT","62001, LT"
"Alytus County, LT","Bakšių k., LT","Alytaus r. sav., LT","62001, LT"
"Alytus County, LT","Bazorų k., LT","Alytaus r. sav., LT","62001, LT"
"Alytus County, LT","Bemotiškių k., LT","Alytaus r. sav., LT","62001, LT"
"Alytus County, LT","Būdos k., LT","Alytaus r. sav., LT","62001, LT"
"Alytus County, LT","Bundorių k., LT","Alytaus r. sav., LT","62001, LT"
"Alytus County, LT","Čižikų k., LT","Alytaus r. sav., LT","62001, LT"
"Alytus County, LT","Dubenkos k., LT","Alytaus r. sav., LT","62001, LT"
"Alytus County, LT","Dubėnų k., LT","Alytaus r. sav., LT","62001, LT"
"Alytus County, LT","Geištariškių k., LT","Alytaus r. sav., LT","62001, LT"
"Alytus County, LT","Žaunieriškių k., LT","Alytaus r. sav., LT","62001, LT"
"Alytus County, LT","Ulyškių k., LT","Alytaus r. sav., LT","62001, LT"
"Alytus County, LT","Talokių k., LT","Alytaus r. sav., LT","62001, LT"
"Alytus County, LT","Takniškių k., LT","Alytaus r. sav., LT","62001, LT"
"Alytus County, LT","Tabalenkos k., LT","Alytaus r. sav., LT","62001, LT"
