state,city,town,zip
"Capellen, LU","Dippach, CA","Dippach, CA","L-4906, CA"
"Capellen, LU","Schouweiler, CA","Dippach, CA","L-4968, CA"
"Capellen, LU","Sprinkange, CA","Dippach, CA","L-4970, CA"
"Capellen, LU","Bettange-sur-Mess, CA","Dippach, CA","L-4970, CA"
"Capellen, LU","Bettange-sur-Mess, CA","Dippach, CA","L-4971, CA"
"Capellen, LU","Dippach, CA","Dippach, CA","L-4972, CA"
"Capellen, LU","Dippach, CA","Dippach, CA","L-4973, CA"
"Capellen, LU","Dippach, CA","Dippach, CA","L-4974, CA"
"Capellen, LU","Bettange-sur-Mess, CA","Dippach, CA","L-4975, CA"
"Capellen, LU","Bettange-sur-Mess, CA","Dippach, CA","L-4976, CA"
"Capellen, LU","Bettange-sur-Mess, CA","Dippach, CA","L-4977, CA"
"Capellen, LU","Sprinkange, CA","Dippach, CA","L-4994, CA"
"Capellen, LU","Schouweiler, CA","Dippach, CA","L-4994, CA"
"Capellen, LU","Schouweiler, CA","Dippach, CA","L-4995, CA"
"Capellen, LU","Schouweiler, CA","Dippach, CA","L-4996, CA"
"Capellen, LU","Schouweiler, CA","Dippach, CA","L-4997, CA"
"Capellen, LU","Schouweiler, CA","Dippach, CA","L-4998, CA"
"Capellen, LU","Sprinkange, CA","Dippach, CA","L-4998, CA"
"Capellen, LU","Schouweiler, CA","Dippach, CA","L-4999, CA"
"Capellen, LU","Sprinkange, CA","Dippach, CA","L-4999, CA"
"Capellen, LU","Garnich, CA","Garnich, CA","L-8350, CA"
"Capellen, LU","Dahlem, CA","Garnich, CA","L-8351, CA"
"Capellen, LU","Dahlem, CA","Garnich, CA","L-8352, CA"
"Capellen, LU","Garnich, CA","Garnich, CA","L-8353, CA"
"Capellen, LU","Garnich, CA","Garnich, CA","L-8354, CA"
"Capellen, LU","Garnich, CA","Garnich, CA","L-8355, CA"
"Capellen, LU","Garnich, CA","Garnich, CA","L-8356, CA"
"Capellen, LU","Hivange, CA","Garnich, CA","L-8369, CA"
"Capellen, LU","Kahler, CA","Garnich, CA","L-8376, CA"
"Capellen, LU","Hobscheid, CA","Hobscheid, CA","L-8370, CA"
"Capellen, LU","Hobscheid, CA","Hobscheid, CA","L-8371, CA"
"Capellen, LU","Hobscheid, CA","Hobscheid, CA","L-8372, CA"
"Capellen, LU","Hobscheid, CA","Hobscheid, CA","L-8373, CA"
"Capellen, LU","Hobscheid, CA","Hobscheid, CA","L-8374, CA"
"Capellen, LU","Hobscheid, CA","Hobscheid, CA","L-8375, CA"
