city,zip
"Skopje, MK","1000, MK"
"Skopje, MK","1010, MK"
"Kuceviste, MK","1011, MK"
"Skopje-Karpos 3, MK","1020, MK"
"Skopje, MK","1040, MK"
"Ilinden, MK","1041, MK"
"Miladinovci, MK","1042, MK"
"Petrovec, MK","1043, MK"
"Katlanovo, MK","1044, MK"
"Aracinovo, MK","1045, MK"
"Jurumleri, MK","1047, MK"
"Skopje-Dracevo, MK","1050, MK"
"Zelenikovo, MK","1053, MK"
"Rakotnici, MK","1054, MK"
"Skopje-Gjorce Petrov, MK","1060, MK"
"Radusa, MK","1062, MK"
"Bukovik, MK","1063, MK"
"Tetovo, MK","1200, MK"
"Mala Recica, MK","1201, MK"
"Nerashte, MK","1203, MK"
"Jazince, MK","1206, MK"
"Dobroste, MK","1211, MK"
"Dzepciste, MK","1212, MK"
"Zerovjane, MK","1213, MK"
"Pirok, MK","1214, MK"
"Jegunovce, MK","1215, MK"
"Brvenica, MK","1216, MK"
"Grupcin, MK","1218, MK"
"Golema Recica, MK","1219, MK"
"Bogovinje, MK","1220, MK"
"Kamenjane, MK","1221, MK"
"Tearce, MK","1224, MK"
"Vratnica, MK","1225, MK"
"Zelino, MK","1226, MK"
"Celopek, MK","1227, MK"
"Shemshevo, MK","1228, MK"
"Gostivar, MK","1230, MK"
"Vrutok, MK","1231, MK"
"Debreshe, MK","1234, MK"
"Negotino-Gostivarsko, MK","1235, MK"
"Dobri Dol, MK","1236, MK"
"Cegrane, MK","1237, MK"
"Vrapciste, MK","1238, MK"
"Srbinovo, MK","1239, MK"
"Debar, MK","1250, MK"
"Rostusa, MK","1254, MK"
"Zirovnica, MK","1255, MK"
"Mavrovi Anovi, MK","1256, MK"
"Skudrinje, MK","1257, MK"
"Golem Papradnik, MK","1258, MK"
"Kumanovo, MK","1300, MK"
"Zeglane, MK","1302, MK"
"Staro Negoricane, MK","1303, MK"
"Klecovce, MK","1304, MK"
"Orasec, MK","1305, MK"
"Matejce, MK","1306, MK"
"Lipkovo, MK","1307, MK"
"Tabanovce, MK","1308, MK"
"Gradiste, MK","1309, MK"
"Mlado Nagoricane, MK","1312, MK"
"Oblavce, MK","1314, MK"
"Otlja, MK","1315, MK"
"Rankovce, MK","1316, MK"
"Romanovce, MK","1322, MK"
"Pcinja, MK","1323, MK"
"Vaksince, MK","1324, MK"
"Slupcane, MK","1325, MK"
"Kriva Palanka, MK","1330, MK"
"Petralnica, MK","1332, MK"
"Mozdivnjak, MK","1333, MK"
"Dubrovnica, MK","1334, MK"
"Zidilovo, MK","1335, MK"
"Kratovo, MK","1360, MK"
"Stracin, MK","1361, MK"
"Veles, MK","1400, MK"
"Basino Selo, MK","1406, MK"
"Ivankovci, MK","1407, MK"
"Gorno Orizari, MK","1408, MK"
"Caska, MK","1413, MK"
"Izvor, MK","1414, MK"
"Bogomila, MK","1415, MK"
"Gradsko, MK","1420, MK"
"Sirkovo, MK","1421, MK"
"Rosoman, MK","1422, MK"
"Drenovo, MK","1423, MK"
"Vozarci, MK","1424, MK"
"Marena, MK","1426, MK"
"Sopot, MK","1427, MK"
"Kavadarci, MK","1430, MK"
"Resava, MK","1434, MK"
"Konopiste, MK","1437, MK"
"Negotino, MK","1440, MK"
"Pepeliste, MK","1441, MK"
"Demir Kapija, MK","1442, MK"
"Dolni Disan, MK","1443, MK"
"Gevgelija, MK","1480, MK"
"Negorci, MK","1483, MK"
"Bogdanci, MK","1484, MK"
"Nov Dojran, MK","1485, MK"
"Star Dojran, MK","1487, MK"
"Stojakovo, MK","1488, MK"
"Miravci, MK","1489, MK"
"Stip, MK","2000, MK"
"Karbinci, MK","2207, MK"
"Lozovo, MK","2208, MK"
"Probishtip, MK","2210, MK"
"Zletovo, MK","2212, MK"
"Sveti Nikole, MK","2220, MK"
"Erdzelija, MK","2225, MK"
"Amzabegovo, MK","2227, MK"
"Kocani, MK","2300, MK"
"Oblesevo, MK","2301, MK"
"Orizari, MK","2302, MK"
"Makedonska Kamenica, MK","2304, MK"
"Zrnovci, MK","2305, MK"
"Gorni Podlog, MK","2307, MK"
"Vinica, MK","2310, MK"
"Istibanja, MK","2312, MK"
"Blatec, MK","2314, MK"
"Rusinovo, MK","2315, MK"
"Dragobraste, MK","2316, MK"
"Delcevo, MK","2320, MK"
"Trabotiviste, MK","2325, MK"
"Pehcevo, MK","2326, MK"
"Berovo, MK","2330, MK"
"Vladimirovo, MK","2331, MK"
"Budinarci, MK","2332, MK"
"Cesinovo, MK","2333, MK"
"Strumica, MK","2400, MK"
"Kuklis, MK","2410, MK"
"Vasilevo, MK","2411, MK"
"Vladevci / Radicevo sobiraliste, MK","2412, MK"
"Kosturino, MK","2413, MK"
"Veljusa, MK","2414, MK"
"Dobrasinci, MK","2416, MK"
"Radovis, MK","2420, MK"
"Podares, MK","2423, MK"
"Konce, MK","2424, MK"
"Petralinci, MK","2430, MK"
"Bosilovo, MK","2431, MK"
"Murtino, MK","2432, MK"
"Turnovo, MK","2433, MK"
"Novo Selo, MK","2434, MK"
"Mokrievo, MK","2435, MK"
"Dracevo, MK","2436, MK"
"Valandovo, MK","2460, MK"
"Calakli, MK","2461, MK"
"Udovo, MK","2464, MK"
"Ohrid, MK","6000, MK"
"Malo Crsko, MK","6245, MK"
"Kicevo, MK","6250, MK"
"Zajas, MK","6253, MK"
"Oslomej, MK","6254, MK"
"Brzdani, MK","6255, MK"
"Izvor, MK","6256, MK"
"Dlapkin Dol, MK","6257, MK"
"Vranestica, MK","6258, MK"
"Celopeci, MK","6259, MK"
"Rastanski Pat, MK","6260, MK"
"Drugovo, MK","6261, MK"
"Strelci, MK","6262, MK"
"Leskovec, MK","6306, MK"
"Ohrid, MK","6322, MK"
"Struga, MK","6330, MK"
"Radolista, MK","6333, MK"
"Velesta, MK","6334, MK"
"Vevcani, MK","6335, MK"
"Labunista, MK","6336, MK"
"Lukovo, MK","6337, MK"
"Delgozda, MK","6338, MK"
"Oktisi, MK","6339, MK"
"Trebenista, MK","6341, MK"
"Meseista, MK","6342, MK"
"Belcista, MK","6344, MK"
"Slivovo, MK","6346, MK"
"Makedonski Brod, MK","6530, MK"
"Dolni Manastirec, MK","6533, MK"
"Samokov, MK","6535, MK"
"Dvorci, MK","6539, MK"
"Bitola, MK","7000, MK"
"Smilevo, MK","7202, MK"
"Dolno Orizari, MK","7204, MK"
"Dihovo, MK","7205, MK"
"Novaci, MK","7211, MK"
"Dedebalci, MK","7212, MK"
"Makovo, MK","7213, MK"
"Staravina, MK","7214, MK"
"Dobrusevo, MK","7215, MK"
"Mogila, MK","7216, MK"
"Bistrica, MK","7221, MK"
"Porodin, MK","7223, MK"
"Keremenica, MK","7224, MK"
"Bac, MK","7225, MK"
"Demir Hisar, MK","7240, MK"
"Kukurecani, MK","7241, MK"
"Lopatica, MK","7242, MK"
"Zvan, MK","7244, MK"
"Ivanjevci, MK","7245, MK"
"Resen, MK","7310, MK"
"Capari, MK","7313, MK"
"Kazani, MK","7314, MK"
"Carev Dvor, MK","7315, MK"
"Asamati, MK","7316, MK"
"Krani, MK","7317, MK"
"Ljubojno, MK","7318, MK"
"Otesevo, MK","7319, MK"
"Jankovec, MK","7320, MK"
"Prilep, MK","7500, MK"
"Dolneni, MK","7504, MK"
"Kostinci, MK","7505, MK"
"Dunje, MK","7506, MK"
"Lazani, MK","7507, MK"
"Vitoliste, MK","7508, MK"
"Golemo Konjari, MK","7509, MK"
"Topolcani, MK","7512, MK"
"Kanatlarci, MK","7514, MK"
"Krivogastani, MK","7524, MK"
"Vodani, MK","7525, MK"
"Debreste, MK","7537, MK"
"Krusevo, MK","7550, MK"
