state,city,zip
"Johor, MY","Nusajaya, JHR","79000, JHR"
"Johor, MY","Nusajaya, JHR","79100, JHR"
"Johor, MY","Nusajaya, JHR","79150, JHR"
"Johor, MY","Nusajaya, JHR","79200, JHR"
"Johor, MY","Nusajaya, JHR","79250, JHR"
"Johor, MY","Nusajaya, JHR","79502, JHR"
"Johor, MY","Nusajaya, JHR","79503, JHR"
"Johor, MY","Nusajaya, JHR","79504, JHR"
"Johor, MY","Nusajaya, JHR","79505, JHR"
"Johor, MY","Nusajaya, JHR","79511, JHR"
"Johor, MY","Nusajaya, JHR","79513, JHR"
"Johor, MY","Nusajaya, JHR","79514, JHR"
"Johor, MY","Nusajaya, JHR","79517, JHR"
"Johor, MY","Nusajaya, JHR","79518, JHR"
"Johor, MY","Nusajaya, JHR","79520, JHR"
"Johor, MY","Nusajaya, JHR","79521, JHR"
"Johor, MY","Nusajaya, JHR","79523, JHR"
"Johor, MY","Nusajaya, JHR","79532, JHR"
"Johor, MY","Nusajaya, JHR","79538, JHR"
"Johor, MY","Nusajaya, JHR","79540, JHR"
"Johor, MY","Nusajaya, JHR","79546, JHR"
"Johor, MY","Nusajaya, JHR","79548, JHR"
"Johor, MY","Nusajaya, JHR","79550, JHR"
"Johor, MY","Nusajaya, JHR","79552, JHR"
"Johor, MY","Nusajaya, JHR","79555, JHR"
"Johor, MY","Nusajaya, JHR","79570, JHR"
"Johor, MY","Nusajaya, JHR","79575, JHR"
"Johor, MY","Nusajaya, JHR","79576, JHR"
"Johor, MY","Nusajaya, JHR","79592, JHR"
"Johor, MY","Nusajaya, JHR","79601, JHR"
"Johor, MY","Nusajaya, JHR","79603, JHR"
"Johor, MY","Nusajaya, JHR","79605, JHR"
"Johor, MY","Nusajaya, JHR","79606, JHR"
"Johor, MY","Nusajaya, JHR","79612, JHR"
"Johor, MY","Nusajaya, JHR","79626, JHR"
"Johor, MY","Nusajaya, JHR","79630, JHR"
"Johor, MY","Nusajaya, JHR","79632, JHR"
"Johor, MY","Nusajaya, JHR","79646, JHR"
"Johor, MY","Nusajaya, JHR","79658, JHR"
"Johor, MY","Nusajaya, JHR","79660, JHR"
"Johor, MY","Nusajaya, JHR","79680, JHR"
"Johor, MY","Nusajaya, JHR","79681, JHR"
"Johor, MY","Nusajaya, JHR","79683, JHR"
"Johor, MY","Johor Bahru, JHR","80000, JHR"
"Johor, MY","Johor Bahru, JHR","80050, JHR"
"Johor, MY","Johor Bahru, JHR","80100, JHR"
"Johor, MY","Johor Bahru, JHR","80150, JHR"
"Johor, MY","Johor Bahru, JHR","80200, JHR"
"Johor, MY","Johor Bahru, JHR","80250, JHR"
"Johor, MY","Johor Bahru, JHR","80300, JHR"
"Johor, MY","Johor Bahru, JHR","80350, JHR"
"Johor, MY","Johor Bahru, JHR","80400, JHR"
"Johor, MY","Johor Bahru, JHR","80500, JHR"
"Johor, MY","Johor Bahru, JHR","80506, JHR"
"Johor, MY","Johor Bahru, JHR","80508, JHR"
"Johor, MY","Johor Bahru, JHR","80516, JHR"
"Johor, MY","Johor Bahru, JHR","80519, JHR"
"Johor, MY","Johor Bahru, JHR","80534, JHR"
"Johor, MY","Johor Bahru, JHR","80536, JHR"
"Johor, MY","Johor Bahru, JHR","80542, JHR"
"Johor, MY","Johor Bahru, JHR","80546, JHR"
"Johor, MY","Johor Bahru, JHR","80558, JHR"
"Johor, MY","Johor Bahru, JHR","80560, JHR"
"Johor, MY","Johor Bahru, JHR","80564, JHR"
"Johor, MY","Johor Bahru, JHR","80568, JHR"
"Johor, MY","Johor Bahru, JHR","80578, JHR"
"Johor, MY","Johor Bahru, JHR","80584, JHR"
"Johor, MY","Johor Bahru, JHR","80586, JHR"
"Johor, MY","Johor Bahru, JHR","80590, JHR"
"Johor, MY","Johor Bahru, JHR","80592, JHR"
"Johor, MY","Johor Bahru, JHR","80594, JHR"
"Johor, MY","Johor Bahru, JHR","80596, JHR"
"Johor, MY","Johor Bahru, JHR","80600, JHR"
"Johor, MY","Johor Bahru, JHR","80604, JHR"
"Johor, MY","Johor Bahru, JHR","80608, JHR"
"Johor, MY","Johor Bahru, JHR","80620, JHR"
"Johor, MY","Johor Bahru, JHR","80622, JHR"
"Johor, MY","Johor Bahru, JHR","80628, JHR"
"Johor, MY","Johor Bahru, JHR","80644, JHR"
"Johor, MY","Johor Bahru, JHR","80648, JHR"
"Johor, MY","Johor Bahru, JHR","80662, JHR"
"Johor, MY","Johor Bahru, JHR","80664, JHR"
"Johor, MY","Johor Bahru, JHR","80668, JHR"
"Johor, MY","Johor Bahru, JHR","80670, JHR"
"Johor, MY","Johor Bahru, JHR","80672, JHR"
"Johor, MY","Johor Bahru, JHR","80673, JHR"
"Johor, MY","Johor Bahru, JHR","80676, JHR"
"Johor, MY","Johor Bahru, JHR","80700, JHR"
"Johor, MY","Johor Bahru, JHR","80710, JHR"
"Johor, MY","Johor Bahru, JHR","80720, JHR"
"Johor, MY","Johor Bahru, JHR","80730, JHR"
"Johor, MY","Johor Bahru, JHR","80900, JHR"
"Johor, MY","Johor Bahru, JHR","80902, JHR"
"Johor, MY","Johor Bahru, JHR","80904, JHR"
"Johor, MY","Johor Bahru, JHR","80906, JHR"
"Johor, MY","Johor Bahru, JHR","80908, JHR"
"Johor, MY","Johor Bahru, JHR","80988, JHR"
"Johor, MY","Johor Bahru, JHR","80990, JHR"
"Johor, MY","Johor Bahru, JHR","81000, JHR"
"Johor, MY","Kulai, JHR","81000, JHR"
"Johor, MY","Johor Bahru, JHR","81100, JHR"
"Johor, MY","Johor Bahru, JHR","81200, JHR"
"Johor, MY","Johor Bahru, JHR","81300, JHR"
"Johor, MY","Johor Bahru, JHR","81310, JHR"
"Johor, MY","Senai, JHR","81400, JHR"
"Johor, MY","Bandar Tenggara, JHR","81440, JHR"
"Johor, MY","Gugusan Taib Andak, JHR","81450, JHR"
"Johor, MY","Sungai Mati, JHR","81500, JHR"
"Johor, MY","Pekan Nenas, JHR","81500, JHR"
"Johor, MY","Gelang Patah, JHR","81550, JHR"
"Johor, MY","Pengerang, JHR","81600, JHR"
"Johor, MY","Pasir Gudang, JHR","81700, JHR"
"Johor, MY","Masai, JHR","81750, JHR"
"Johor, MY","masai, JHR","81750, JHR"
"Johor, MY","Ulu Tiram, JHR","81800, JHR"
"Johor, MY","Layang-Layang, JHR","81850, JHR"
"Johor, MY","Kota Tinggi, JHR","81900, JHR"
"Johor, MY","Ayer Tawar 5, JHR","81920, JHR"
"Johor, MY","Ayer Tawar 2, JHR","81920, JHR"
"Johor, MY","Ayer Tawar 3, JHR","81920, JHR"
"Johor, MY","Ayer Tawar 4, JHR","81920, JHR"
"Johor, MY","Bandar Penawar, JHR","81930, JHR"
"Johor, MY","Pontian, JHR","82000, JHR"
"Johor, MY","Ayer Baloi, JHR","82100, JHR"
"Johor, MY","Benut, JHR","82200, JHR"
"Johor, MY","Kukup, JHR","82300, JHR"
"Johor, MY","Batu Pahat, JHR","83000, JHR"
"Johor, MY","Rengit, JHR","83100, JHR"
"Johor, MY","Senggarang, JHR","83200, JHR"
"Johor, MY","Sri Gading, JHR","83300, JHR"
"Johor, MY","Seri Gading, JHR","83300, JHR"
"Johor, MY","Seri Medan, JHR","83400, JHR"
"Johor, MY","Sri Medan, JHR","83400, JHR"
"Johor, MY","Parit Sulong, JHR","83500, JHR"
"Johor, MY","Semerah, JHR","83600, JHR"
"Johor, MY","Yong Peng, JHR","83700, JHR"
"Johor, MY","Muar, JHR","84000, JHR"
"Johor, MY","Tangkak, JHR","84000, JHR"
"Johor, MY","Parit Jawa, JHR","84150, JHR"
"Johor, MY","Muar, JHR","84200, JHR"
"Johor, MY","Bukit Pasir, JHR","84300, JHR"
"Johor, MY","Sungai Mati, JHR","84400, JHR"
"Johor, MY","Panchor, JHR","84500, JHR"
"Johor, MY","Pagoh, JHR","84600, JHR"
"Johor, MY","Gerisek, JHR","84700, JHR"
