state,city,zip
"Mun.Chisinau, MD","Chisinau, MD","MD-2000, MD"
"Mun.Chisinau, MD","Durlesti, MD","MD-2003, MD"
"Mun.Chisinau, MD","Codru, MD","MD-2011, MD"
"Mun.Chisinau, MD","Vadul Lui Voda, MD","MD-2046, MD"
"Mun.Chisinau, MD","Vatra, MD","MD-2055, MD"
"Mun.Chisinau, MD","Bumbrava, MD","MD-2071, MD"
"Mun.Chisinau, MD","Humulesti, MD","MD-2081, MD"
"Mun.Chisinau, MD","Bic, MD","MD-2081, MD"
"Mun.Chisinau, MD","Bubuieci, MD","MD-2081, MD"
"Mun.Chisinau, MD","Colonita, MD","MD-2082, MD"
"Mun.Chisinau, MD","Condrita, MD","MD-2083, MD"
"Mun.Chisinau, MD","Cricova, MD","MD-2084, MD"
"Mun.Chisinau, MD","Cruzesti, MD","MD-2085, MD"
"Mun.Chisinau, MD","Ceroborta, MD","MD-2085, MD"
"Mun.Chisinau, MD","Dobrogea, MD","MD-2086, MD"
"Mun.Chisinau, MD","Ghidighici, MD","MD-2088, MD"
"Mun.Chisinau, MD","Fauresti, MD","MD-2089, MD"
"Mun.Chisinau, MD","Ciorescu, MD","MD-2089, MD"
"Mun.Chisinau, MD","Goian, MD","MD-2089, MD"
"Mun.Chisinau, MD","Revaca, MD","MD-2091, MD"
"Mun.Chisinau, MD","Singera, MD","MD-2091, MD"
"Mun.Chisinau, MD","Buneti, MD","MD-2092, MD"
"Mun.Chisinau, MD","Cheltuitori, MD","MD-2092, MD"
"Mun.Chisinau, MD","Tohatin, MD","MD-2092, MD"
"Mun.Chisinau, MD","Gratiesti, MD","MD-2093, MD"
"Mun.Chisinau, MD","Hulboaca, MD","MD-2093, MD"
"Soroca, MD","Soroca 4, MD","MD-3004, MD"
"Soroca, MD","Soroca 5, MD","MD-3005, MD"
"Soroca, MD","Soroca 6, MD","MD-3006, MD"
"Soroca, MD","Badiceni, MD","MD-3011, MD"
"Soroca, MD","Baxani, MD","MD-3012, MD"
"Soroca, MD","Balintii Noi, MD","MD-3013, MD"
"Soroca, MD","Balinti, MD","MD-3013, MD"
