state,city,town,zip
"Drenthe, NL","Assen, NL","Assen, NL","9401, NL"
"Drenthe, NL","Assen, NL","Assen, NL","9402, NL"
"Drenthe, NL","Assen, NL","Assen, NL","9403, NL"
"Drenthe, NL","Assen, NL","Assen, NL","9404, NL"
"Drenthe, NL","Assen, NL","Assen, NL","9405, NL"
"Drenthe, NL","Assen, NL","Assen, NL","9406, NL"
"Drenthe, NL","Assen, NL","Assen, NL","9407, NL"
"Drenthe, NL","Assen, NL","Assen, NL","9408, NL"
"Drenthe, NL","Loon, NL","Assen, NL","9409, NL"
"Drenthe, NL","Rhee, NL","Assen, NL","9486, NL"
"Drenthe, NL","Ter Aard, NL","Assen, NL","9487, NL"
"Drenthe, NL","Zeijerveld, NL","Assen, NL","9488, NL"
"Drenthe, NL","Zeijerveen, NL","Assen, NL","9489, NL"
"Drenthe, NL","Ubbena, NL","Assen, NL","9492, NL"
"Drenthe, NL","Coevorden, NL","Coevorden, NL","7741, NL"
"Drenthe, NL","Coevorden, NL","Coevorden, NL","7742, NL"
"Drenthe, NL","Dalen, NL","Coevorden, NL","7751, NL"
"Drenthe, NL","Dalerpeel, NL","Coevorden, NL","7753, NL"
"Drenthe, NL","Wachtum, NL","Coevorden, NL","7754, NL"
"Drenthe, NL","Dalerveen, NL","Coevorden, NL","7755, NL"
"Drenthe, NL","Stieltjeskanaal, NL","Coevorden, NL","7756, NL"
"Drenthe, NL","Sleen, NL","Coevorden, NL","7841, NL"
"Drenthe, NL","Diphoorn, NL","Coevorden, NL","7842, NL"
"Drenthe, NL","Erm, NL","Coevorden, NL","7843, NL"
"Drenthe, NL","Holsloot, NL","Coevorden, NL","7845, NL"
"Drenthe, NL","Noord-Sleen, NL","Coevorden, NL","7846, NL"
"Drenthe, NL","'t Haantje, NL","Coevorden, NL","7847, NL"
"Drenthe, NL","Schoonoord, NL","Coevorden, NL","7848, NL"
"Drenthe, NL","De Kiel, NL","Coevorden, NL","7849, NL"
"Drenthe, NL","Zweeloo, NL","Coevorden, NL","7851, NL"
"Drenthe, NL","Wezup, NL","Coevorden, NL","7852, NL"
"Drenthe, NL","Wezuperbrug, NL","Coevorden, NL","7853, NL"
"Drenthe, NL","Aalden, NL","Coevorden, NL","7854, NL"
"Drenthe, NL","Meppen, NL","Coevorden, NL","7855, NL"
"Drenthe, NL","Benneveld, NL","Coevorden, NL","7856, NL"
"Drenthe, NL","Oosterhesselen, NL","Coevorden, NL","7861, NL"
"Drenthe, NL","Gees, NL","Coevorden, NL","7863, NL"
"Drenthe, NL","Zwinderen, NL","Coevorden, NL","7864, NL"
"Drenthe, NL","Geesbrug, NL","Coevorden, NL","7917, NL"
"Drenthe, NL","Nieuwlande Coevorden, NL","Coevorden, NL","7929, NL"
"Drenthe, NL","Schoonebeek, NL","Emmen, NL","7761, NL"
"Drenthe, NL","Zandpol, NL","Emmen, NL","7764, NL"
"Drenthe, NL","Weiteveen, NL","Emmen, NL","7765, NL"
"Drenthe, NL","Nieuw-Schoonebeek, NL","Emmen, NL","7766, NL"
"Drenthe, NL","Emmen, NL","Emmen, NL","7811, NL"
"Drenthe, NL","Emmen, NL","Emmen, NL","7812, NL"
"Drenthe, NL","Emmen, NL","Emmen, NL","7813, NL"
"Drenthe, NL","Emmen, NL","Emmen, NL","7814, NL"
"Drenthe, NL","Emmen, NL","Emmen, NL","7815, NL"
"Drenthe, NL","Emmen, NL","Emmen, NL","7821, NL"
"Drenthe, NL","Emmen, NL","Emmen, NL","7822, NL"
"Drenthe, NL","Emmen, NL","Emmen, NL","7823, NL"
"Drenthe, NL","Emmen, NL","Emmen, NL","7824, NL"
"Drenthe, NL","Emmen, NL","Emmen, NL","7825, NL"
"Drenthe, NL","Emmen, NL","Emmen, NL","7826, NL"
"Drenthe, NL","Emmen, NL","Emmen, NL","7827, NL"
"Drenthe, NL","Emmen, NL","Emmen, NL","7828, NL"
"Drenthe, NL","Nieuw-Weerdinge, NL","Emmen, NL","7831, NL"
"Drenthe, NL","Nieuw-Amsterdam, NL","Emmen, NL","7833, NL"
"Drenthe, NL","Veenoord, NL","Emmen, NL","7844, NL"
"Drenthe, NL","Klazienaveen, NL","Emmen, NL","7881, NL"
"Drenthe, NL","Emmer-Compascuum, NL","Emmen, NL","7881, NL"
"Drenthe, NL","Barger-Compascuum, NL","Emmen, NL","7884, NL"
"Drenthe, NL","Nieuw-Dordrecht, NL","Emmen, NL","7885, NL"
"Drenthe, NL","Erica, NL","Emmen, NL","7887, NL"
"Drenthe, NL","Klazienaveen-Noord, NL","Emmen, NL","7889, NL"
"Drenthe, NL","Klazienaveen, NL","Emmen, NL","7891, NL"
"Drenthe, NL","Klazienaveen, NL","Emmen, NL","7892, NL"
"Drenthe, NL","Zwartemeer, NL","Emmen, NL","7894, NL"
"Drenthe, NL","Roswinkel, NL","Emmen, NL","7895, NL"
"Drenthe, NL","Hoogeveen, NL","Hoogeveen, NL","7901, NL"
"Drenthe, NL","Hoogeveen, NL","Hoogeveen, NL","7902, NL"
"Drenthe, NL","Hoogeveen, NL","Hoogeveen, NL","7903, NL"
"Drenthe, NL","Hoogeveen, NL","Hoogeveen, NL","7904, NL"
"Drenthe, NL","Hoogeveen, NL","Hoogeveen, NL","7905, NL"
"Drenthe, NL","Hoogeveen, NL","Hoogeveen, NL","7906, NL"
"Drenthe, NL","Hoogeveen, NL","Hoogeveen, NL","7907, NL"
"Drenthe, NL","Hoogeveen, NL","Hoogeveen, NL","7908, NL"
"Drenthe, NL","Hoogeveen, NL","Hoogeveen, NL","7909, NL"
"Drenthe, NL","Noordscheschut, NL","Hoogeveen, NL","7911, NL"
"Drenthe, NL","Nieuweroord, NL","Hoogeveen, NL","7911, NL"
"Drenthe, NL","Nieuweroord, NL","Hoogeveen, NL","7912, NL"
"Drenthe, NL","Hollandscheveld, NL","Hoogeveen, NL","7913, NL"
"Drenthe, NL","Nieuweroord, NL","Hoogeveen, NL","7913, NL"
"Drenthe, NL","Hoogeveen, NL","Hoogeveen, NL","7913, NL"
"Drenthe, NL","Noordscheschut, NL","Hoogeveen, NL","7914, NL"
"Drenthe, NL","Alteveer gem Hoogeveen, NL","Hoogeveen, NL","7915, NL"
"Drenthe, NL","Hollandscheveld, NL","Hoogeveen, NL","7916, NL"
"Drenthe, NL","Elim, NL","Hoogeveen, NL","7916, NL"
"Drenthe, NL","Nieuwlande, NL","Hoogeveen, NL","7918, NL"
"Drenthe, NL","Fluitenberg, NL","Hoogeveen, NL","7931, NL"
"Drenthe, NL","Pesse, NL","Hoogeveen, NL","7933, NL"
"Drenthe, NL","Stuifzand, NL","Hoogeveen, NL","7934, NL"
"Drenthe, NL","Tiendeveen, NL","Hoogeveen, NL","7936, NL"
"Drenthe, NL","Meppel, NL","Meppel, NL","7941, NL"
"Drenthe, NL","Meppel, NL","Meppel, NL","7942, NL"
"Drenthe, NL","Meppel, NL","Meppel, NL","7943, NL"
"Drenthe, NL","Meppel, NL","Meppel, NL","7944, NL"
"Drenthe, NL","Meppel, NL","Meppel, NL","7948, NL"
"Drenthe, NL","Nijeveen, NL","Meppel, NL","7948, NL"
"Drenthe, NL","Rogat, NL","Meppel, NL","7949, NL"
"Drenthe, NL","Broekhuizen, NL","Meppel, NL","7965, NL"
"Drenthe, NL","De Schiphorst, NL","Meppel, NL","7966, NL"
"Drenthe, NL","Schoonloo, NL","Aa en Hunze, NL","9443, NL"
"Drenthe, NL","Grolloo, NL","Aa en Hunze, NL","9444, NL"
"Drenthe, NL","Vredenheim, NL","Aa en Hunze, NL","9445, NL"
"Drenthe, NL","Amen, NL","Aa en Hunze, NL","9446, NL"
"Drenthe, NL","Papenvoort, NL","Aa en Hunze, NL","9447, NL"
"Drenthe, NL","Marwijksoord, NL","Aa en Hunze, NL","9448, NL"
"Drenthe, NL","Nooitgedacht, NL","Aa en Hunze, NL","9449, NL"
"Drenthe, NL","Rolde, NL","Aa en Hunze, NL","9451, NL"
"Drenthe, NL","Nijlande, NL","Aa en Hunze, NL","9452, NL"
"Drenthe, NL","Eldersloo, NL","Aa en Hunze, NL","9453, NL"
"Drenthe, NL","Ekehaar, NL","Aa en Hunze, NL","9454, NL"
"Drenthe, NL","Geelbroek, NL","Aa en Hunze, NL","9455, NL"
"Drenthe, NL","Eleveld, NL","Aa en Hunze, NL","9456, NL"
"Drenthe, NL","Deurze, NL","Aa en Hunze, NL","9457, NL"
"Drenthe, NL","Balloo, NL","Aa en Hunze, NL","9458, NL"
"Drenthe, NL","Balloërveld, NL","Aa en Hunze, NL","9459, NL"
"Drenthe, NL","Gieten, NL","Aa en Hunze, NL","9461, NL"
"Drenthe, NL","Gasselte, NL","Aa en Hunze, NL","9462, NL"
"Drenthe, NL","Eext, NL","Aa en Hunze, NL","9463, NL"
"Drenthe, NL","Eexterzandvoort, NL","Aa en Hunze, NL","9464, NL"
"Drenthe, NL","Anderen, NL","Aa en Hunze, NL","9465, NL"
"Drenthe, NL","Gasteren, NL","Aa en Hunze, NL","9466, NL"
"Drenthe, NL","Anloo, NL","Aa en Hunze, NL","9467, NL"
"Drenthe, NL","Annen, NL","Aa en Hunze, NL","9468, NL"
"Drenthe, NL","Schipborg, NL","Aa en Hunze, NL","9469, NL"
"Drenthe, NL","Gieterveen, NL","Aa en Hunze, NL","9511, NL"
"Drenthe, NL","Nieuwediep, NL","Aa en Hunze, NL","9512, NL"
"Drenthe, NL","Gasselternijveen, NL","Aa en Hunze, NL","9514, NL"
"Drenthe, NL","Gasselternijveen, NL","Aa en Hunze, NL","9515, NL"
"Drenthe, NL","Gasselternijveenschemond, NL","Aa en Hunze, NL","9515, NL"
"Drenthe, NL","Annerveenschekanaal, NL","Aa en Hunze, NL","9654, NL"
"Drenthe, NL","Oud Annerveen, NL","Aa en Hunze, NL","9655, NL"
"Drenthe, NL","Spijkerboor, NL","Aa en Hunze, NL","9656, NL"
"Drenthe, NL","Nieuw Annerveen, NL","Aa en Hunze, NL","9657, NL"
"Drenthe, NL","Eexterveen, NL","Aa en Hunze, NL","9658, NL"
"Drenthe, NL","Eexterveenschekanaal, NL","Aa en Hunze, NL","9659, NL"
"Drenthe, NL","Eeserveen, NL","Borger-Odoorn, NL","7858, NL"
"Drenthe, NL","Eeserveen, NL","Borger-Odoorn, NL","7859, NL"
"Drenthe, NL","Klijndijk, NL","Borger-Odoorn, NL","7871, NL"
"Drenthe, NL","Valthe, NL","Borger-Odoorn, NL","7872, NL"
"Drenthe, NL","Odoorn, NL","Borger-Odoorn, NL","7873, NL"
"Drenthe, NL","Odoornerveen, NL","Borger-Odoorn, NL","7874, NL"
"Drenthe, NL","Exloo, NL","Borger-Odoorn, NL","7875, NL"
"Drenthe, NL","Valthermond, NL","Borger-Odoorn, NL","7876, NL"
"Drenthe, NL","2e Valthermond, NL","Borger-Odoorn, NL","7877, NL"
"Drenthe, NL","Nieuw-Buinen, NL","Borger-Odoorn, NL","9521, NL"
"Drenthe, NL","Drouwenermond, NL","Borger-Odoorn, NL","9523, NL"
"Drenthe, NL","Buinerveen, NL","Borger-Odoorn, NL","9524, NL"
"Drenthe, NL","Drouwenerveen, NL","Borger-Odoorn, NL","9525, NL"
"Drenthe, NL","Bronnegerveen, NL","Borger-Odoorn, NL","9526, NL"
"Drenthe, NL","Bronneger, NL","Borger-Odoorn, NL","9527, NL"
"Drenthe, NL","Buinen, NL","Borger-Odoorn, NL","9528, NL"
"Drenthe, NL","Borger, NL","Borger-Odoorn, NL","9531, NL"
"Drenthe, NL","Drouwen, NL","Borger-Odoorn, NL","9533, NL"
"Drenthe, NL","Westdorp, NL","Borger-Odoorn, NL","9534, NL"
"Drenthe, NL","Ellertshaar, NL","Borger-Odoorn, NL","9535, NL"
"Drenthe, NL","Ees, NL","Borger-Odoorn, NL","9536, NL"
"Drenthe, NL","Eesergroen, NL","Borger-Odoorn, NL","9537, NL"
"Drenthe, NL","Zandberg, NL","Borger-Odoorn, NL","9564, NL"
"Drenthe, NL","2e Exloërmond, NL","Borger-Odoorn, NL","9571, NL"
"Drenthe, NL","1e Exloërmond, NL","Borger-Odoorn, NL","9573, NL"
"Drenthe, NL","Exloërveen, NL","Borger-Odoorn, NL","9574, NL"
"Drenthe, NL","Drogteropslagen, NL","De Wolden, NL","7705, NL"
"Drenthe, NL","Zuidwolde, NL","De Wolden, NL","7921, NL"
"Drenthe, NL","Veeningen, NL","De Wolden, NL","7924, NL"
"Drenthe, NL","Linde, NL","De Wolden, NL","7925, NL"
"Drenthe, NL","Kerkenveld, NL","De Wolden, NL","7926, NL"
"Drenthe, NL","Alteveer, NL","De Wolden, NL","7927, NL"
"Drenthe, NL","Echten, NL","De Wolden, NL","7932, NL"
"Drenthe, NL","Eursinge, NL","De Wolden, NL","7935, NL"
"Drenthe, NL","de Wijk, NL","De Wolden, NL","7957, NL"
"Drenthe, NL","Koekange, NL","De Wolden, NL","7958, NL"
"Drenthe, NL","Ruinerwold, NL","De Wolden, NL","7961, NL"
"Drenthe, NL","Ruinen, NL","De Wolden, NL","7963, NL"
"Drenthe, NL","Ansen, NL","De Wolden, NL","7964, NL"
"Drenthe, NL","Roden, NL","Noordenveld, NL","9301, NL"
"Drenthe, NL","Roden, NL","Noordenveld, NL","9302, NL"
"Drenthe, NL","Lieveren, NL","Noordenveld, NL","9304, NL"
"Drenthe, NL","Roderesch, NL","Noordenveld, NL","9305, NL"
"Drenthe, NL","Alteveer, NL","Noordenveld, NL","9306, NL"
"Drenthe, NL","Steenbergen, NL","Noordenveld, NL","9307, NL"
"Drenthe, NL","Nieuw-Roden, NL","Noordenveld, NL","9311, NL"
"Drenthe, NL","Nietap, NL","Noordenveld, NL","9312, NL"
"Drenthe, NL","Leutingewolde, NL","Noordenveld, NL","9313, NL"
"Drenthe, NL","Foxwolde, NL","Noordenveld, NL","9314, NL"
"Drenthe, NL","Roderwolde, NL","Noordenveld, NL","9315, NL"
"Drenthe, NL","Peize, NL","Noordenveld, NL","9321, NL"
"Drenthe, NL","Norg, NL","Noordenveld, NL","9331, NL"
"Drenthe, NL","Langelo, NL","Noordenveld, NL","9333, NL"
"Drenthe, NL","Peest, NL","Noordenveld, NL","9334, NL"
"Drenthe, NL","Zuidvelde, NL","Noordenveld, NL","9335, NL"
"Drenthe, NL","Huis ter Heide, NL","Noordenveld, NL","9336, NL"
"Drenthe, NL","Westervelde, NL","Noordenveld, NL","9337, NL"
"Drenthe, NL","Veenhuizen, NL","Noordenveld, NL","9341, NL"
"Drenthe, NL","Een, NL","Noordenveld, NL","9342, NL"
"Drenthe, NL","Een-West, NL","Noordenveld, NL","9343, NL"
"Drenthe, NL","Nietap, NL","Noordenveld, NL","9351, NL"
"Drenthe, NL","Nieuw-Roden, NL","Noordenveld, NL","9354, NL"
"Drenthe, NL","Matsloot, NL","Noordenveld, NL","9749, NL"
"Drenthe, NL","Pesse, NL","Westerveld, NL","7933, NL"
"Drenthe, NL","Ruinen, NL","Westerveld, NL","7963, NL"
"Drenthe, NL","Ansen, NL","Westerveld, NL","7964, NL"
"Drenthe, NL","Havelte, NL","Westerveld, NL","7971, NL"
"Drenthe, NL","Darp, NL","Westerveld, NL","7973, NL"
"Drenthe, NL","Havelterberg, NL","Westerveld, NL","7974, NL"
"Drenthe, NL","Uffelte, NL","Westerveld, NL","7975, NL"
"Drenthe, NL","Diever, NL","Westerveld, NL","7981, NL"
"Drenthe, NL","Wapse, NL","Westerveld, NL","7983, NL"
"Drenthe, NL","Dieverbrug, NL","Westerveld, NL","7984, NL"
"Drenthe, NL","Geeuwenbrug, NL","Westerveld, NL","7985, NL"
"Drenthe, NL","Wittelte, NL","Westerveld, NL","7986, NL"
"Drenthe, NL","Dwingeloo, NL","Westerveld, NL","7991, NL"
"Drenthe, NL","Wapserveen, NL","Westerveld, NL","8351, NL"
"Drenthe, NL","Vledder, NL","Westerveld, NL","8381, NL"
"Drenthe, NL","Frederiksoord, NL","Westerveld, NL","8382, NL"
"Drenthe, NL","Nijensleek, NL","Westerveld, NL","8383, NL"
"Drenthe, NL","Wilhelminaoord, NL","Westerveld, NL","8384, NL"
"Drenthe, NL","Vledderveen, NL","Westerveld, NL","8385, NL"
"Drenthe, NL","Doldersum, NL","Westerveld, NL","8386, NL"
"Drenthe, NL","Boschoord, NL","Westerveld, NL","8387, NL"
"Drenthe, NL","Zorgvlied, NL","Westerveld, NL","8437, NL"
"Drenthe, NL","Wateren, NL","Westerveld, NL","8438, NL"
"Drenthe, NL","Oude Willem, NL","Westerveld, NL","8439, NL"
"Drenthe, NL","Spier, NL","Westerveld, NL","9417, NL"
"Drenthe, NL","Hoogersmilde, NL","Westerveld, NL","9423, NL"
"Drenthe, NL","Zuidlaren, NL","Tynaarlo, NL","9471, NL"
"Drenthe, NL","Zuidlaren, NL","Tynaarlo, NL","9472, NL"
"Drenthe, NL","De Groeve, NL","Tynaarlo, NL","9473, NL"
"Drenthe, NL","Zuidlaarderveen, NL","Tynaarlo, NL","9474, NL"
"Drenthe, NL","Midlaren, NL","Tynaarlo, NL","9475, NL"
"Drenthe, NL","Vries, NL","Tynaarlo, NL","9481, NL"
"Drenthe, NL","Tynaarlo, NL","Tynaarlo, NL","9482, NL"
"Drenthe, NL","Zeegse, NL","Tynaarlo, NL","9483, NL"
"Drenthe, NL","Oudemolen, NL","Tynaarlo, NL","9484, NL"
"Drenthe, NL","Taarlo, NL","Tynaarlo, NL","9485, NL"
"Drenthe, NL","Zeijen, NL","Tynaarlo, NL","9491, NL"
"Drenthe, NL","De Punt, NL","Tynaarlo, NL","9493, NL"
"Drenthe, NL","Yde, NL","Tynaarlo, NL","9494, NL"
"Drenthe, NL","Winde, NL","Tynaarlo, NL","9495, NL"
"Drenthe, NL","Bunne, NL","Tynaarlo, NL","9496, NL"
"Drenthe, NL","Donderen, NL","Tynaarlo, NL","9497, NL"
"Drenthe, NL","Eelde, NL","Tynaarlo, NL","9761, NL"
"Drenthe, NL","Paterswolde, NL","Tynaarlo, NL","9765, NL"
"Drenthe, NL","Eelderwolde, NL","Tynaarlo, NL","9766, NL"
"Drenthe, NL","Nieuweroord, NL","Midden-Drenthe, NL","7910, NL"
"Drenthe, NL","Stuifzand, NL","Midden-Drenthe, NL","7928, NL"
"Drenthe, NL","Tiendeveen, NL","Midden-Drenthe, NL","7937, NL"
"Drenthe, NL","Nieuw-Balinge, NL","Midden-Drenthe, NL","7938, NL"
"Drenthe, NL","Beilen, NL","Midden-Drenthe, NL","9411, NL"
"Drenthe, NL","Beilen, NL","Midden-Drenthe, NL","9412, NL"
"Drenthe, NL","Beilen, NL","Midden-Drenthe, NL","9413, NL"
"Drenthe, NL","Hooghalen, NL","Midden-Drenthe, NL","9414, NL"
"Drenthe, NL","Hijken, NL","Midden-Drenthe, NL","9415, NL"
"Drenthe, NL","Oranje, NL","Midden-Drenthe, NL","9416, NL"
"Drenthe, NL","Spier, NL","Midden-Drenthe, NL","9417, NL"
"Drenthe, NL","Wijster, NL","Midden-Drenthe, NL","9418, NL"
"Drenthe, NL","Drijber, NL","Midden-Drenthe, NL","9419, NL"
"Drenthe, NL","Bovensmilde, NL","Midden-Drenthe, NL","9421, NL"
"Drenthe, NL","Smilde, NL","Midden-Drenthe, NL","9422, NL"
"Drenthe, NL","Hoogersmilde, NL","Midden-Drenthe, NL","9423, NL"
"Drenthe, NL","Westerbork, NL","Midden-Drenthe, NL","9431, NL"
"Drenthe, NL","Zuidveld, NL","Midden-Drenthe, NL","9432, NL"
"Drenthe, NL","Zwiggelte, NL","Midden-Drenthe, NL","9433, NL"
"Drenthe, NL","Eursinge, NL","Midden-Drenthe, NL","9434, NL"
"Drenthe, NL","Bruntinge, NL","Midden-Drenthe, NL","9435, NL"
"Drenthe, NL","Mantinge, NL","Midden-Drenthe, NL","9436, NL"
"Drenthe, NL","Balinge, NL","Midden-Drenthe, NL","9437, NL"
"Drenthe, NL","Garminge, NL","Midden-Drenthe, NL","9438, NL"
"Drenthe, NL","Witteveen, NL","Midden-Drenthe, NL","9439, NL"
"Drenthe, NL","Orvelte, NL","Midden-Drenthe, NL","9441, NL"
"Drenthe, NL","Elp, NL","Midden-Drenthe, NL","9442, NL"
"Friesland, NL","Surhuisterveen, NL","Achtkarspelen, NL","9231, NL"
"Friesland, NL","Boelenslaan, NL","Achtkarspelen, NL","9233, NL"
"Friesland, NL","Harkema, NL","Achtkarspelen, NL","9281, NL"
"Friesland, NL","Surhuizum, NL","Achtkarspelen, NL","9283, NL"
"Friesland, NL","Augustinusga, NL","Achtkarspelen, NL","9284, NL"
"Friesland, NL","Buitenpost, NL","Achtkarspelen, NL","9285, NL"
"Friesland, NL","Twijzel, NL","Achtkarspelen, NL","9286, NL"
"Friesland, NL","Twijzelerheide, NL","Achtkarspelen, NL","9287, NL"
"Friesland, NL","Kootstertille, NL","Achtkarspelen, NL","9288, NL"
"Friesland, NL","Drogeham, NL","Achtkarspelen, NL","9289, NL"
"Friesland, NL","Stroobos, NL","Achtkarspelen, NL","9871, NL"
"Friesland, NL","Stroobos, NL","Achtkarspelen, NL","9872, NL"
"Friesland, NL","Gerkesklooster, NL","Achtkarspelen, NL","9873, NL"
"Friesland, NL","Hollum, NL","Ameland, NL","9161, NL"
"Friesland, NL","Ballum, NL","Ameland, NL","9162, NL"
"Friesland, NL","Nes, NL","Ameland, NL","9163, NL"
"Friesland, NL","Buren, NL","Ameland, NL","9164, NL"
"Friesland, NL","Wijnaldum, NL","Harlingen, NL","8857, NL"
"Friesland, NL","Harlingen, NL","Harlingen, NL","8861, NL"
"Friesland, NL","Harlingen, NL","Harlingen, NL","8862, NL"
"Friesland, NL","Midlum, NL","Harlingen, NL","8871, NL"
"Friesland, NL","Midlum, NL","Harlingen, NL","8872, NL"
"Friesland, NL","Jubbega, NL","Heerenveen, NL","8411, NL"
"Friesland, NL","Hoornsterzwaag, NL","Heerenveen, NL","8412, NL"
"Friesland, NL","Oudehorne, NL","Heerenveen, NL","8413, NL"
"Friesland, NL","Nieuwehorne, NL","Heerenveen, NL","8414, NL"
"Friesland, NL","Bontebok, NL","Heerenveen, NL","8415, NL"
"Friesland, NL","Heerenveen, NL","Heerenveen, NL","8441, NL"
"Friesland, NL","Heerenveen, NL","Heerenveen, NL","8442, NL"
"Friesland, NL","Heerenveen, NL","Heerenveen, NL","8443, NL"
"Friesland, NL","Heerenveen, NL","Heerenveen, NL","8444, NL"
"Friesland, NL","Heerenveen, NL","Heerenveen, NL","8445, NL"
"Friesland, NL","Heerenveen, NL","Heerenveen, NL","8446, NL"
"Friesland, NL","Heerenveen, NL","Heerenveen, NL","8447, NL"
"Friesland, NL","Heerenveen, NL","Heerenveen, NL","8448, NL"
"Friesland, NL","Terband, NL","Heerenveen, NL","8449, NL"
"Friesland, NL","Oudeschoot, NL","Heerenveen, NL","8451, NL"
"Friesland, NL","Nieuweschoot, NL","Heerenveen, NL","8452, NL"
"Friesland, NL","Oranjewoud, NL","Heerenveen, NL","8453, NL"
"Friesland, NL","Mildam, NL","Heerenveen, NL","8454, NL"
"Friesland, NL","Katlijk, NL","Heerenveen, NL","8455, NL"
"Friesland, NL","De Knipe, NL","Heerenveen, NL","8456, NL"
"Friesland, NL","Gersloot, NL","Heerenveen, NL","8457, NL"
"Friesland, NL","Tjalleberd, NL","Heerenveen, NL","8458, NL"
"Friesland, NL","Luinjeberd, NL","Heerenveen, NL","8459, NL"
