state,city,zip
"Auckland, NZ","Blockhouse Bay, NZ","600, NZ"
"Auckland, NZ","Kelston, NZ","602, NZ"
"Auckland, NZ","Huia, NZ","604, NZ"
"Auckland, NZ","Te Atatu South, NZ","610, NZ"
"Auckland, NZ","McLaren Park, NZ","612, NZ"
"Auckland, NZ","Swanson, NZ","614, NZ"
"Auckland, NZ","Hobsonville, NZ","618, NZ"
"Auckland, NZ","Forrest Hill, NZ","620, NZ"
"Auckland, NZ","Belmont, NZ","622, NZ"
"Auckland, NZ","Devonport, NZ","624, NZ"
"Auckland, NZ","Chatswood, NZ","626, NZ"
"Auckland, NZ","North Shore, NZ","627, NZ"
"Auckland, NZ","Marlborough, NZ","629, NZ"
"Auckland, NZ","Browns Bay, NZ","630, NZ"
"Auckland, NZ","Greenhithe, NZ","632, NZ"
"Auckland, NZ","New Lynn, NZ","640, NZ"
"Auckland, NZ","Glen Eden, NZ","641, NZ"
"Auckland, NZ","Titirangi, NZ","642, NZ"
"Auckland, NZ","Green Bay, NZ","643, NZ"
"Auckland, NZ","Blockhouse Bay, NZ","644, NZ"
"Auckland, NZ","Glendene, NZ","645, NZ"
"Auckland, NZ","Sunnyvale, NZ","650, NZ"
"Auckland, NZ","Te Atatu, NZ","651, NZ"
"Auckland, NZ","Te Atatu South, NZ","652, NZ"
"Auckland, NZ","Swanson, NZ","653, NZ"
"Auckland, NZ","Te Atatu South, NZ","654, NZ"
"Auckland, NZ","Swanson, NZ","655, NZ"
"Auckland, NZ","Massey East, NZ","656, NZ"
"Auckland, NZ","West Harbour, NZ","657, NZ"
"Auckland, NZ","Waitakere, NZ","660, NZ"
"Auckland, NZ","Te Atatu Peninsula, NZ","661, NZ"
"Auckland, NZ","Brighams Creek, NZ","662, NZ"
"Auckland, NZ","Massey East, NZ","663, NZ"
"Auckland, NZ","Hauraki, NZ","740, NZ"
"Auckland, NZ","Milford, NZ","741, NZ"
"Auckland, NZ","Torbay, NZ","742, NZ"
"Auckland, NZ","Forrest Hill, NZ","743, NZ"
"Auckland, NZ","Devonport, NZ","744, NZ"
"Auckland, NZ","Glenfield, NZ","745, NZ"
"Auckland, NZ","Birkenhead, NZ","746, NZ"
"Auckland, NZ","Marlborough, NZ","747, NZ"
"Auckland, NZ","North Shore, NZ","748, NZ"
"Auckland, NZ","Birkdale, NZ","749, NZ"
"Auckland, NZ","Takapuna, NZ","750, NZ"
"Auckland, NZ","Glenfield, NZ","751, NZ"
"Auckland, NZ","Albany, NZ","752, NZ"
"Auckland, NZ","Browns Bay, NZ","753, NZ"
"Auckland, NZ","Mairangi Bay, NZ","754, NZ"
"Auckland, NZ","Albany, NZ","755, NZ"
"Auckland, NZ","Paremoremo, NZ","756, NZ"
"Auckland, NZ","Forrest Hill, NZ","757, NZ"
"Auckland, NZ","Mairangi Bay, NZ","758, NZ"
"Auckland, NZ","Karekare, NZ","772, NZ"
"Auckland, NZ","Piha, NZ","781, NZ"
"Auckland, NZ","Waitakere, NZ","782, NZ"
"Auckland, NZ","Red Vale, NZ","792, NZ"
"Auckland, NZ","Coatesville, NZ","793, NZ"
"Auckland, NZ","Dairy Flat, NZ","794, NZ"
"Auckland, NZ","Helensville, NZ","800, NZ"
"Auckland, NZ","Huapai, NZ","810, NZ"
"Auckland, NZ","Waimauku, NZ","812, NZ"
"Auckland, NZ","West Harbour, NZ","814, NZ"
"Auckland, NZ","Riverhead, NZ","820, NZ"
"Auckland, NZ","Parakai, NZ","830, NZ"
"Auckland, NZ","Helensville, NZ","840, NZ"
"Auckland, NZ","Huapai, NZ","841, NZ"
"Auckland, NZ","Pahitoa, NZ","842, NZ"
"Auckland, NZ","Kaukapakapa, NZ","843, NZ"
"Auckland, NZ","Kaukapakapa, NZ","871, NZ"
"Auckland, NZ","Parakakau, NZ","873, NZ"
"Auckland, NZ","Parkhurst, NZ","874, NZ"
"Auckland, NZ","Helensville, NZ","875, NZ"
"Auckland, NZ","Woodhill, NZ","881, NZ"
"Auckland, NZ","Waimauku, NZ","882, NZ"
"Auckland, NZ","Pahitoa, NZ","883, NZ"
"Auckland, NZ","Huapai, NZ","891, NZ"
"Auckland, NZ","Kumeu, NZ","892, NZ"
"Auckland, NZ","Wellsford, NZ","900, NZ"
"Auckland, NZ","Warkworth, NZ","910, NZ"
"Auckland, NZ","Leigh, NZ","920, NZ"
"Auckland, NZ","Whangaparaoa, NZ","930, NZ"
"Auckland, NZ","Orewa, NZ","931, NZ"
"Auckland, NZ","Red Beach, NZ","932, NZ"
"Auckland, NZ","Wellsford, NZ","940, NZ"
"Auckland, NZ","Warkworth, NZ","941, NZ"
"Auckland, NZ","Snells Beach, NZ","942, NZ"
"Auckland, NZ","Whangaparaoa, NZ","943, NZ"
"Auckland, NZ","Silverdale, NZ","944, NZ"
"Auckland, NZ","Red Beach, NZ","945, NZ"
"Auckland, NZ","Orewa, NZ","946, NZ"
"Auckland, NZ","Leigh, NZ","947, NZ"
"Auckland, NZ","Matakana, NZ","948, NZ"
"Auckland, NZ","Waiwera, NZ","950, NZ"
"Auckland, NZ","Puhoi, NZ","951, NZ"
"Auckland, NZ","Okiwi, NZ","960, NZ"
"Auckland, NZ","Okupu, NZ","961, NZ"
"Auckland, NZ","Tryphena, NZ","962, NZ"
"Auckland, NZ","Port Fitzroy, NZ","963, NZ"
"Auckland, NZ","Wayby, NZ","972, NZ"
"Auckland, NZ","Wharehine, NZ","973, NZ"
"Auckland, NZ","Te Hana, NZ","974, NZ"
"Auckland, NZ","Wharehine, NZ","977, NZ"
"Auckland, NZ","Woodcocks, NZ","981, NZ"
"Auckland, NZ","Algies Bay, NZ","982, NZ"
"Auckland, NZ","Pohuehue, NZ","983, NZ"
"Auckland, NZ","Ahuroa, NZ","984, NZ"
"Auckland, NZ","Big Omaha, NZ","985, NZ"
"Auckland, NZ","Tawharanui, NZ","986, NZ"
"Auckland, NZ","Whangapara, NZ","991, NZ"
"Auckland, NZ","Silverdale, NZ","992, NZ"
"Auckland, NZ","Red Beach, NZ","993, NZ"
"Auckland, NZ","Auckland, NZ","1010, NZ"
"Auckland, NZ","Herne Bay, NZ","1011, NZ"
"Auckland, NZ","Arch Hill, NZ","1021, NZ"
"Auckland, NZ","Point Chevalier, NZ","1022, NZ"
"Auckland, NZ","Epsom, NZ","1023, NZ"
"Auckland, NZ","Epsom, NZ","1024, NZ"
"Auckland, NZ","Sandringham, NZ","1025, NZ"
"Auckland, NZ","Waterview, NZ","1026, NZ"
"Auckland, NZ","Mount Roskill, NZ","1041, NZ"
"Auckland, NZ","Hillsborough, NZ","1042, NZ"
"Auckland, NZ","Remuera, NZ","1050, NZ"
"Auckland, NZ","Ellerslie, NZ","1051, NZ"
"Auckland, NZ","Point Resolution, NZ","1052, NZ"
"Auckland, NZ","Penrose, NZ","1060, NZ"
"Auckland, NZ","Te Papapa, NZ","1061, NZ"
"Auckland, NZ","OTAHUHU, NZ","1062, NZ"
"Auckland, NZ","Kohimarama, NZ","1071, NZ"
"Auckland, NZ","Tamaki, NZ","1072, NZ"
"Auckland, NZ","Ostend, NZ","1081, NZ"
"Auckland, NZ","Surfdale, NZ","1081, NZ"
"Auckland, NZ","Mechanics Bay, NZ","1140, NZ"
"Auckland, NZ","Newmarket, NZ","1141, NZ"
"Auckland, NZ","Newton, NZ","1142, NZ"
"Auckland, NZ","Mechanics Bay, NZ","1143, NZ"
"Auckland, NZ","Freemans Bay, NZ","1144, NZ"
"Auckland, NZ","Grafton, NZ","1145, NZ"
"Auckland, NZ","Herne Bay, NZ","1147, NZ"
"Auckland, NZ","Auckland, NZ","1148, NZ"
"Auckland, NZ","Parnell, NZ","1149, NZ"
"Auckland, NZ","Auckland, NZ","1150, NZ"
"Auckland, NZ","Point Resolution, NZ","1151, NZ"
"Auckland, NZ","Western Springs, NZ","1245, NZ"
"Auckland, NZ","Mount Albert, NZ","1246, NZ"
"Auckland, NZ","Wesley, NZ","1340, NZ"
"Auckland, NZ","Balmoral, NZ","1342, NZ"
"Auckland, NZ","One Tree Hill, NZ","1344, NZ"
"Auckland, NZ","Royal Oak, NZ","1345, NZ"
"Auckland, NZ","Sandringham, NZ","1346, NZ"
"Auckland, NZ","One Tree Hill, NZ","1347, NZ"
"Auckland, NZ","Avondale, NZ","1348, NZ"
"Auckland, NZ","Epsom, NZ","1349, NZ"
"Auckland, NZ","Owairaka, NZ","1350, NZ"
"Auckland, NZ","Balmoral, NZ","1351, NZ"
"Auckland, NZ","Mount Eden, NZ","1352, NZ"
"Auckland, NZ","Three Kings, NZ","1440, NZ"
"Auckland, NZ","Lynfield, NZ","1443, NZ"
"Auckland, NZ","Waikowhai, NZ","1445, NZ"
"Auckland, NZ","Mount Eden, NZ","1446, NZ"
"Auckland, NZ","Greenlane, NZ","1541, NZ"
"Auckland, NZ","Ellerslie, NZ","1542, NZ"
"Auckland, NZ","Greenlane, NZ","1543, NZ"
"Auckland, NZ","Ellerslie, NZ","1544, NZ"
"Auckland, NZ","Panmure, NZ","1545, NZ"
"Auckland, NZ","Ellerslie, NZ","1546, NZ"
"Auckland, NZ","Otahuhu, NZ","1640, NZ"
"Auckland, NZ","Panmure, NZ","1641, NZ"
"Auckland, NZ","Mount Wellington, NZ","1642, NZ"
"Auckland, NZ","Onehunga, NZ","1643, NZ"
"Auckland, NZ","Saint Heliers, NZ","1740, NZ"
"Auckland, NZ","Panmure, NZ","1741, NZ"
"Auckland, NZ","Meadowbank, NZ","1742, NZ"
"Auckland, NZ","Point England, NZ","1743, NZ"
"Auckland, NZ","Mission Bay, NZ","1744, NZ"
"Auckland, NZ","Orakei, NZ","1745, NZ"
"Auckland, NZ","New Windsor, NZ","1746, NZ"
"Auckland, NZ","Oneroa, NZ","1840, NZ"
"Auckland, NZ","Onetangi, NZ","1841, NZ"
"Auckland, NZ","Blackpool, NZ","1842, NZ"
"Auckland, NZ","Ostend, NZ","1843, NZ"
"Auckland, NZ","Onetangi, NZ","1971, NZ"
"Auckland, NZ","Pakuranga Heights, NZ","2010, NZ"
"Auckland, NZ","Eastern Beach, NZ","2012, NZ"
"Auckland, NZ","East Tamaki, NZ","2013, NZ"
"Auckland, NZ","Shelly Park, NZ","2014, NZ"
"Auckland, NZ","East Tamaki, NZ","2016, NZ"
"Auckland, NZ","Beachlands, NZ","2018, NZ"
"Auckland, NZ","Mangere, NZ","2022, NZ"
"Auckland, NZ","Wiri, NZ","2023, NZ"
"Auckland, NZ","Mangere East, NZ","2024, NZ"
"Auckland, NZ","Wiri, NZ","2025, NZ"
"Auckland, NZ","Manurewa, NZ","2102, NZ"
"Auckland, NZ","Weymouth, NZ","2103, NZ"
"Auckland, NZ","Wiri, NZ","2104, NZ"
"Auckland, NZ","Manurewa East, NZ","2105, NZ"
"Auckland, NZ","Red Hill, NZ","2110, NZ"
"Auckland, NZ","Takanini, NZ","2112, NZ"
"Auckland, NZ","Papakura, NZ","2113, NZ"
"Auckland, NZ","Pukekohe, NZ","2120, NZ"
"Auckland, NZ","Waiau Pa, NZ","2122, NZ"
"Auckland, NZ","Waiuku, NZ","2123, NZ"
"Auckland, NZ","Pakuranga, NZ","2140, NZ"
"Auckland, NZ","East Tamaki, NZ","2141, NZ"
"Auckland, NZ","East Tamaki, NZ","2142, NZ"
"Auckland, NZ","Botany Downs, NZ","2143, NZ"
"Auckland, NZ","Eastern Beach, NZ","2144, NZ"
"Auckland, NZ","Shelly Park, NZ","2145, NZ"
"Auckland, NZ","Shelly Park, NZ","2146, NZ"
"Auckland, NZ","Beachlands, NZ","2147, NZ"
"Auckland, NZ","Maraetai, NZ","2148, NZ"
"Auckland, NZ","Whitford, NZ","2149, NZ"
"Auckland, NZ","Mangere, NZ","2150, NZ"
"Auckland, NZ","Favona, NZ","2151, NZ"
"Auckland, NZ","Mangere, NZ","2153, NZ"
"Auckland, NZ","Mangere, NZ","2154, NZ"
"Auckland, NZ","Papatoetoe, NZ","2155, NZ"
"Auckland, NZ","Papatoetoe, NZ","2156, NZ"
"Auckland, NZ","Wiri, NZ","2157, NZ"
"Auckland, NZ","Mangere East, NZ","2158, NZ"
"Auckland, NZ","Otara, NZ","2159, NZ"
"Auckland, NZ","Wiri, NZ","2160, NZ"
"Auckland, NZ","Homai, NZ","2240, NZ"
"Auckland, NZ","Wiri, NZ","2241, NZ"
"Auckland, NZ","Weymouth, NZ","2242, NZ"
"Auckland, NZ","Manurewa East, NZ","2243, NZ"
"Auckland, NZ","Pahurehure, NZ","2244, NZ"
"Auckland, NZ","Takanini, NZ","2245, NZ"
"Auckland, NZ","Pahurehure, NZ","2246, NZ"
"Auckland, NZ","Drury, NZ","2247, NZ"
"Auckland, NZ","Clevedon, NZ","2248, NZ"
"Auckland, NZ","Pukekohe, NZ","2340, NZ"
"Auckland, NZ","Waiuku, NZ","2341, NZ"
"Auckland, NZ","Bombay, NZ","2343, NZ"
"Auckland, NZ","Patumahoe, NZ","2344, NZ"
"Auckland, NZ","Waiau Pa, NZ","2345, NZ"
"Auckland, NZ","Waikopua, NZ","2571, NZ"
"Auckland, NZ","Whitford, NZ","2576, NZ"
"Auckland, NZ","Drury, NZ","2577, NZ"
"Auckland, NZ","Ramarama, NZ","2578, NZ"
"Auckland, NZ","Ararimu, NZ","2579, NZ"
"Auckland, NZ","Weymouth, NZ","2580, NZ"
"Auckland, NZ","Clevedon, NZ","2582, NZ"
"Auckland, NZ","Paparimu, NZ","2583, NZ"
"Auckland, NZ","Opaheke, NZ","2584, NZ"
"Auckland, NZ","Whakatiri, NZ","2585, NZ"
"Auckland, NZ","Ararimu, NZ","2675, NZ"
"Auckland, NZ","Paerata, NZ","2676, NZ"
"Auckland, NZ","Pukekohe East, NZ","2677, NZ"
"Auckland, NZ","Mauku, NZ","2678, NZ"
"Auckland, NZ","Waiau Pa, NZ","2679, NZ"
"Auckland, NZ","Glenbrook, NZ","2681, NZ"
"Auckland, NZ","Waipipi, NZ","2683, NZ"
"Auckland, NZ","Pollok, NZ","2684, NZ"
"Auckland, NZ","Te Kohanga, NZ","2693, NZ"
"Auckland, NZ","Opuatia, NZ","2696, NZ"
"Auckland, NZ","Te Kohanga, NZ","2697, NZ"
"Bay of Plenty, NZ","Ohinemutu, NZ","3010, NZ"
"Bay of Plenty, NZ","Sunnybrook, NZ","3015, NZ"
"Bay of Plenty, NZ","Mamaku, NZ","3020, NZ"
"Bay of Plenty, NZ","Murupara, NZ","3025, NZ"
"Bay of Plenty, NZ","Ngapuna, NZ","3040, NZ"
"Bay of Plenty, NZ","Ngongotaha, NZ","3041, NZ"
"Bay of Plenty, NZ","Owhata, NZ","3042, NZ"
"Bay of Plenty, NZ","Whakarewarewa, NZ","3043, NZ"
"Bay of Plenty, NZ","Glenholme, NZ","3044, NZ"
"Bay of Plenty, NZ","Ngapuna, NZ","3045, NZ"
"Bay of Plenty, NZ","Koutu, NZ","3046, NZ"
"Bay of Plenty, NZ","Mangakakahi, NZ","3047, NZ"
"Bay of Plenty, NZ","Tihiotonga, NZ","3048, NZ"
"Bay of Plenty, NZ","Mamaku, NZ","3049, NZ"
"Bay of Plenty, NZ","Reporoa, NZ","3060, NZ"
"Bay of Plenty, NZ","Murupara, NZ","3062, NZ"
"Bay of Plenty, NZ","Tarukenga, NZ","3072, NZ"
"Bay of Plenty, NZ","Waimangu, NZ","3073, NZ"
"Bay of Plenty, NZ","Tikitere, NZ","3074, NZ"
"Bay of Plenty, NZ","Guthrie, NZ","3077, NZ"
"Bay of Plenty, NZ","Ruatahuna, NZ","3079, NZ"
"Bay of Plenty, NZ","Tahorakui, NZ","3081, NZ"
"Bay of Plenty, NZ","Tahorakui, NZ","3083, NZ"
"Bay of Plenty, NZ","Tauranga, NZ","3110, NZ"
"Bay of Plenty, NZ","Hairini, NZ","3112, NZ"
"Bay of Plenty, NZ","Omokoroa Beach, NZ","3114, NZ"
"Bay of Plenty, NZ","Omanu, NZ","3116, NZ"
"Bay of Plenty, NZ","Papamoa Beach, NZ","3118, NZ"
"Bay of Plenty, NZ","Te Puke, NZ","3119, NZ"
"Bay of Plenty, NZ","Poroporo, NZ","3120, NZ"
"Bay of Plenty, NZ","Ohope Beach, NZ","3121, NZ"
"Bay of Plenty, NZ","Opotiki, NZ","3122, NZ"
"Bay of Plenty, NZ","Taneatua, NZ","3123, NZ"
"Bay of Plenty, NZ","Kawerau, NZ","3127, NZ"
"Bay of Plenty, NZ","Katikati, NZ","3129, NZ"
"Bay of Plenty, NZ","Tauranga, NZ","3140, NZ"
"Bay of Plenty, NZ","Tauranga, NZ","3141, NZ"
"Bay of Plenty, NZ","Greerton, NZ","3142, NZ"
"Bay of Plenty, NZ","Tauranga, NZ","3143, NZ"
"Bay of Plenty, NZ","Tauranga, NZ","3144, NZ"
"Bay of Plenty, NZ","Otumoetai, NZ","3145, NZ"
"Bay of Plenty, NZ","Judea, NZ","3146, NZ"
"Bay of Plenty, NZ","Bethlehem, NZ","3147, NZ"
"Bay of Plenty, NZ","Hairini, NZ","3148, NZ"
"Bay of Plenty, NZ","Omanu, NZ","3149, NZ"
"Bay of Plenty, NZ","Mount Maunganui, NZ","3150, NZ"
"Bay of Plenty, NZ","Kairua, NZ","3151, NZ"
"Bay of Plenty, NZ","Omanu Beach, NZ","3152, NZ"
"Bay of Plenty, NZ","Te Puke, NZ","3153, NZ"
