state,city,town,zip
"Møre og Romsdal, NO","Kristiansund N, NO","Kristiansund, NO","6501, NO"
"Møre og Romsdal, NO","Kristiansund N, NO","Kristiansund, NO","6502, NO"
"Møre og Romsdal, NO","Kristiansund N, NO","Kristiansund, NO","6503, NO"
"Møre og Romsdal, NO","Kristiansund N, NO","Kristiansund, NO","6504, NO"
"Møre og Romsdal, NO","Kristiansund N, NO","Kristiansund, NO","6506, NO"
"Møre og Romsdal, NO","Kristiansund N, NO","Kristiansund, NO","6507, NO"
"Møre og Romsdal, NO","Kristiansund N, NO","Kristiansund, NO","6508, NO"
"Møre og Romsdal, NO","Kristiansund N, NO","Kristiansund, NO","6509, NO"
"Møre og Romsdal, NO","Kristiansund N, NO","Kristiansund, NO","6510, NO"
"Møre og Romsdal, NO","Kristiansund N, NO","Kristiansund, NO","6511, NO"
"Møre og Romsdal, NO","Kristiansund N, NO","Kristiansund, NO","6512, NO"
"Møre og Romsdal, NO","Kristiansund N, NO","Kristiansund, NO","6514, NO"
"Møre og Romsdal, NO","Kristiansund N, NO","Kristiansund, NO","6515, NO"
"Møre og Romsdal, NO","Kristiansund N, NO","Kristiansund, NO","6516, NO"
"Møre og Romsdal, NO","Kristiansund N, NO","Kristiansund, NO","6517, NO"
"Møre og Romsdal, NO","Kristiansund N, NO","Kristiansund, NO","6518, NO"
"Møre og Romsdal, NO","Frei, NO","Kristiansund, NO","6520, NO"
"Møre og Romsdal, NO","Frei, NO","Kristiansund, NO","6521, NO"
"Møre og Romsdal, NO","Frei, NO","Kristiansund, NO","6522, NO"
"Møre og Romsdal, NO","Frei, NO","Kristiansund, NO","6523, NO"
"Møre og Romsdal, NO","Frei, NO","Kristiansund, NO","6524, NO"
"Møre og Romsdal, NO","Frei, NO","Kristiansund, NO","6525, NO"
"Møre og Romsdal, NO","Frei, NO","Kristiansund, NO","6527, NO"
"Møre og Romsdal, NO","Frei, NO","Kristiansund, NO","6528, NO"
"Møre og Romsdal, NO","Frei, NO","Kristiansund, NO","6529, NO"
"Møre og Romsdal, NO","Kristiansund N, NO","Kristiansund, NO","6546, NO"
