state,city,zip
"Balochistan, PK","Sui Gas Field Sibi, PK","80000, PK"
"Balochistan, PK","Dera Bugti, PK","80100, PK"
"Balochistan, PK","Manjhi Pur, PK","80200, PK"
"Balochistan, PK","Usta Muhammad, PK","80300, PK"
"Balochistan, PK","Dr.Azizullah Salakzai, PK","80310, PK"
"Balochistan, PK","Gandakha, PK","80400, PK"
"Balochistan, PK","Dera Allayyar, PK","80500, PK"
"Balochistan, PK","Sohbat Pur, PK","80600, PK"
"Balochistan, PK","Dear Murad Jamali, PK","80700, PK"
"Balochistan, PK","Chattar, PK","80800, PK"
"Balochistan, PK","Sardar Changez Khan, PK","80810, PK"
"Balochistan, PK","Abdul Ghafoor Lehri, PK","80820, PK"
"Balochistan, PK","Gandawa, PK","81050, PK"
"Balochistan, PK","Jhal Magsi, PK","81100, PK"
"Balochistan, PK","Bukhtarabad Domki, PK","81150, PK"
"Balochistan, PK","Lehri, PK","81200, PK"
"Balochistan, PK","Bhag, PK","81250, PK"
"Balochistan, PK","Khattan, PK","81260, PK"
"Balochistan, PK","Manjho Shori, PK","81270, PK"
"Balochistan, PK","Haji Shaher, PK","81300, PK"
"Balochistan, PK","Mithri Village, PK","81350, PK"
"Balochistan, PK","Dhadar, PK","81400, PK"
"Balochistan, PK","Rind Ali, PK","81410, PK"
"Balochistan, PK","Sanni, PK","81450, PK"
"Balochistan, PK","Kolpur, PK","81550, PK"
"Balochistan, PK","Sibi Gpo, PK","82000, PK"
"Balochistan, PK","Talli, PK","82010, PK"
"Balochistan, PK","Sibi Railway Colony, PK","82100, PK"
"Balochistan, PK","Sibi Petrol Pump, PK","82200, PK"
"Balochistan, PK","Harnai, PK","82300, PK"
"Balochistan, PK","Khost, PK","82310, PK"
"Balochistan, PK","Sharigh, PK","82400, PK"
"Balochistan, PK","Kohlu, PK","83000, PK"
"Balochistan, PK","Maiwand, PK","83100, PK"
"Balochistan, PK","Chutiali Shafir, PK","84100, PK"
"Balochistan, PK","Dukki, PK","84200, PK"
"Balochistan, PK","Sinjawi, PK","84300, PK"
"Balochistan, PK","Barkhan, PK","84400, PK"
"Balochistan, PK","Rakhni, PK","84500, PK"
