state,city,zip
"Adjuntas, PR","Adjuntas, PR","601, PR"
"Aguada, PR","Aguada, PR","602, PR"
"Aguadilla, PR","Aguadilla, PR","603, PR"
"Aguadilla, PR","Aguadilla, PR","604, PR"
"Aguadilla, PR","Aguadilla, PR","605, PR"
"Aguadilla, PR","San Antonio, PR","690, PR"
"Aguas Buenas, PR","Aguas Buenas, PR","703, PR"
"Aibonito, PR","Aibonito, PR","705, PR"
"Aibonito, PR","La Plata, PR","786, PR"
"Anasco, PR","Anasco, PR","610, PR"
"Arecibo, PR","Arecibo, PR","612, PR"
"Arecibo, PR","Arecibo, PR","613, PR"
"Arecibo, PR","Arecibo, PR","614, PR"
"Arecibo, PR","Bajadero, PR","616, PR"
"Arecibo, PR","Garrochales, PR","652, PR"
"Arecibo, PR","Sabana Hoyos, PR","688, PR"
"Arroyo, PR","Arroyo, PR","714, PR"
"Barceloneta, PR","Barceloneta, PR","617, PR"
"Barranquitas, PR","Barranquitas, PR","794, PR"
"Bayamon, PR","Fort Buchanan, PR","934, PR"
"Bayamon, PR","Bayamon, PR","956, PR"
"Bayamon, PR","Bayamon, PR","957, PR"
"Bayamon, PR","Bayamon, PR","958, PR"
"Bayamon, PR","Bayamon, PR","959, PR"
"Bayamon, PR","Bayamon, PR","960, PR"
"Bayamon, PR","Bayamon, PR","961, PR"
"Cabo Rojo, PR","Boqueron, PR","622, PR"
"Cabo Rojo, PR","Cabo Rojo, PR","623, PR"
"Caguas, PR","Caguas, PR","725, PR"
"Caguas, PR","Caguas, PR","726, PR"
"Caguas, PR","Caguas, PR","727, PR"
"Camuy, PR","Camuy, PR","627, PR"
"Canovanas, PR","Canovanas, PR","729, PR"
"Carolina, PR","Carolina, PR","983, PR"
"Carolina, PR","Carolina, PR","984, PR"
"Carolina, PR","Carolina, PR","985, PR"
"Carolina, PR","Carolina, PR","986, PR"
"Carolina, PR","Carolina, PR","987, PR"
"Carolina, PR","Carolina, PR","988, PR"
"Catano, PR","Catano, PR","962, PR"
"Catano, PR","Catano, PR","963, PR"
"Cayey, PR","Cayey, PR","736, PR"
"Cayey, PR","Cayey, PR","737, PR"
"Ceiba, PR","Ceiba, PR","735, PR"
"Ceiba, PR","Roosevelt Roads, PR","742, PR"
"Ciales, PR","Ciales, PR","638, PR"
"Cidra, PR","Cidra, PR","739, PR"
"Coamo, PR","Coamo, PR","769, PR"
"Comerio, PR","Comerio, PR","782, PR"
"Corozal, PR","Corozal, PR","783, PR"
"Culebra, PR","Culebra, PR","775, PR"
"Dorado, PR","Dorado, PR","646, PR"
"Fajardo, PR","Fajardo, PR","738, PR"
"Fajardo, PR","Puerto Real, PR","740, PR"
"Florida, PR","Florida, PR","650, PR"
"Guanica, PR","Ensenada, PR","647, PR"
"Guanica, PR","Guanica, PR","653, PR"
"Guayama, PR","Aguirre, PR","704, PR"
"Guayama, PR","Guayama, PR","784, PR"
"Guayanilla, PR","Guayanilla, PR","656, PR"
"Guayanilla, PR","Guayama, PR","785, PR"
"Guaynabo, PR","Guaynabo, PR","965, PR"
"Guaynabo, PR","Guaynabo, PR","966, PR"
"Guaynabo, PR","Guaynabo, PR","969, PR"
"Guaynabo, PR","Guaynabo, PR","970, PR"
"Guaynabo, PR","Guaynabo, PR","971, PR"
"Gurabo, PR","Gurabo, PR","778, PR"
"Hatillo, PR","Hatillo, PR","659, PR"
"Hormigueros, PR","Hormigueros, PR","660, PR"
"Humacao, PR","Punta Santiago, PR","741, PR"
"Humacao, PR","Humacao, PR","791, PR"
