state,city,zip
"Адыгея Республика, RU","Майкоп, RU","385000, RU"
"Адыгея Республика, RU","Майкоп 1, RU","385001, RU"
"Адыгея Республика, RU","Майкоп 2, RU","385002, RU"
"Адыгея Республика, RU","Майкоп 3, RU","385003, RU"
"Адыгея Республика, RU","Майкоп 6, RU","385006, RU"
"Адыгея Республика, RU","Майкоп 7, RU","385007, RU"
"Адыгея Республика, RU","Майкоп 8, RU","385008, RU"
"Адыгея Республика, RU","Майкоп 9, RU","385009, RU"
"Адыгея Республика, RU","Майкоп 11, RU","385011, RU"
"Адыгея Республика, RU","Майкоп 12, RU","385012, RU"
"Адыгея Республика, RU","Майкоп 13, RU","385013, RU"
"Адыгея Республика, RU","Майкоп 16, RU","385016, RU"
"Адыгея Республика, RU","Майкоп 17, RU","385017, RU"
"Адыгея Республика, RU","Майкоп 18, RU","385018, RU"
"Адыгея Республика, RU","Майкоп 19, RU","385019, RU"
"Адыгея Республика, RU","Майкоп 20, RU","385020, RU"
"Адыгея Республика, RU","Майкоп 21, RU","385021, RU"
"Адыгея Республика, RU","Ханская, RU","385060, RU"
"Адыгея Республика, RU","Ханская 1, RU","385061, RU"
"Адыгея Республика, RU","Подгорный, RU","385064, RU"
"Адыгея Республика, RU","Родниковый, RU","385069, RU"
"Адыгея Республика, RU","Северный, RU","385071, RU"
"Адыгея Республика, RU","Гавердовский, RU","385077, RU"
"Адыгея Республика, RU","Тахтамукай, RU","385100, RU"
"Адыгея Республика, RU","Прикубанский, RU","385110, RU"
"Адыгея Республика, RU","Псейтук, RU","385111, RU"
"Адыгея Республика, RU","Старобжегокай, RU","385112, RU"
"Адыгея Республика, RU","Панахес, RU","385113, RU"
"Адыгея Республика, RU","Новый Сад, RU","385121, RU"
"Адыгея Республика, RU","Афипсип, RU","385123, RU"
"Адыгея Республика, RU","Шенджий, RU","385124, RU"
"Адыгея Республика, RU","Отрадный, RU","385127, RU"
"Адыгея Республика, RU","Козет, RU","385129, RU"
"Адыгея Республика, RU","Энем, RU","385130, RU"
"Адыгея Республика, RU","Энем 1, RU","385131, RU"
"Адыгея Республика, RU","Энем 2, RU","385132, RU"
"Адыгея Республика, RU","Яблоновский, RU","385140, RU"
"Адыгея Республика, RU","Яблоновский 1, RU","385141, RU"
"Адыгея Республика, RU","Адыгейск, RU","385200, RU"
"Адыгея Республика, RU","Адыгейск 2, RU","385202, RU"
"Адыгея Республика, RU","Пчегатлукай, RU","385225, RU"
"Адыгея Республика, RU","Тлюстенхабль, RU","385228, RU"
"Адыгея Республика, RU","Понежукай, RU","385230, RU"
"Адыгея Республика, RU","Ассоколай, RU","385231, RU"
"Адыгея Республика, RU","Красное, RU","385232, RU"
"Адыгея Республика, RU","Шевченко, RU","385233, RU"
"Адыгея Республика, RU","Габукай, RU","385234, RU"
"Адыгея Республика, RU","Джиджихабль, RU","385235, RU"
"Адыгея Республика, RU","Городской, RU","385236, RU"
"Адыгея Республика, RU","Нешукай, RU","385238, RU"
"Адыгея Республика, RU","Псекупс, RU","385239, RU"
"Адыгея Республика, RU","Гатлукай, RU","385271, RU"
"Адыгея Республика, RU","Кунчукохабль, RU","385273, RU"
"Адыгея Республика, RU","Вочепший, RU","385274, RU"
"Адыгея Республика, RU","Красногвардейское, RU","385300, RU"
"Адыгея Республика, RU","Красногвардейское 1, RU","385301, RU"
