city,zip
"Casole, SM","47890, SM"
"San Marino, SM","47890, SM"
"Murata, SM","47890, SM"
"Santa Mustiola, SM","47890, SM"
"Dogana, SM","47891, SM"
"Rovereta, SM","47891, SM"
"Galazzano, SM","47891, SM"
"Falciano, SM","47891, SM"
"Gualdicciolo, SM","47892, SM"
"Acquaviva, SM","47892, SM"
"Ca' Rigo, SM","47893, SM"
"Ventoso, SM","47893, SM"
"Borgo Maggiore, SM","47893, SM"
"Valdragone, SM","47893, SM"
"San Giovanni, SM","47893, SM"
"Cailungo, SM","47893, SM"
"Teglio, SM","47894, SM"
"Chiesanuova, SM","47894, SM"
"Domagnano, SM","47895, SM"
"Torraccia, SM","47895, SM"
"Faetano, SM","47896, SM"
"Fiorentino, SM","47897, SM"
"Montegiardino, SM","47898, SM"
"Cerbaiola, SM","47898, SM"
"Fiorina, SM","47899, SM"
"Serravalle, SM","47899, SM"
