city,zip
"Beograd, RS","11000, RS"
"Brograd, RS","11031, RS"
"Zemun, RS","11080, RS"
"Kaluđerica, RS","11130, RS"
"Rušanj, RS","11194, RS"
"Borča, RS","11211, RS"
"Ovča, RS","11212, RS"
"Padinska Skela, RS","11213, RS"
"Slanci, RS","11215, RS"
"Beli Potok, RS","11223, RS"
"Vrčin, RS","11224, RS"
"Zuce, RS","11225, RS"
"Pinosava, RS","11226, RS"
"Ripanj, RS","11232, RS"
"Ralja, RS","11233, RS"
"Mali Požarevac, RS","11235, RS"
"Ostružnica, RS","11251, RS"
"Sremčica, RS","11253, RS"
"Umka, RS","11260, RS"
"Mala Moštanica, RS","11261, RS"
"Velika Moštanica, RS","11262, RS"
"Surčin, RS","11271, RS"
"Dobanovci, RS","11272, RS"
"Boljevci, RS","11275, RS"
"Jakovo, RS","11276, RS"
"Ugrinovci, RS","11277, RS"
"Bečmen, RS","11279, RS"
"Progar, RS","11280, RS"
"Altina, RS","11283, RS"
"Smederevo, RS","11300, RS"
"Grocka, RS","11306, RS"
"Boleč, RS","11307, RS"
"Begaljica, RS","11308, RS"
"Leštane, RS","11309, RS"
"Lipe, RS","11310, RS"
"Radinac, RS","11311, RS"
"Mihajlovac, RS","11312, RS"
"Mala Krsna, RS","11313, RS"
"Osipaonica, RS","11314, RS"
"Saraorci, RS","11315, RS"
"Golobok, RS","11316, RS"
"Lozovik, RS","11317, RS"
"Miloševac, RS","11318, RS"
"Krnjevo, RS","11319, RS"
"Velika Plana, RS","11320, RS"
"Lugavčina, RS","11321, RS"
"Skobalj, RS","11322, RS"
"Veliko Orašje, RS","11323, RS"
"Staro Selo, RS","11324, RS"
"Markovac, RS","11325, RS"
"Vodanj, RS","11328, RS"
"Vranovo, RS","11329, RS"
"Vinča, RS","11351, RS"
"Mladenovac, RS","11400, RS"
"Međulužje, RS","11405, RS"
"Vlaška, RS","11406, RS"
"Selevac, RS","11407, RS"
"Velika Krsna, RS","11408, RS"
"Kovačevac, RS","11409, RS"
"Ratari, RS","11411, RS"
"Jagnjilo, RS","11412, RS"
"Pružatovac, RS","11413, RS"
"Velika Ivanča, RS","11414, RS"
"Koraćica, RS","11415, RS"
"Smederevska Palanka, RS","11420, RS"
"Azanja, RS","11423, RS"
"Kusadak, RS","11425, RS"
"Meljak, RS","11426, RS"
"Vranić, RS","11427, RS"
"Umčari, RS","11430, RS"
"Kolari, RS","11431, RS"
"Drugovac, RS","11432, RS"
"Šepšin, RS","11433, RS"
"Sopot, RS","11450, RS"
"Rogača (Sopot), RS","11453, RS"
"Sibnica, RS","11454, RS"
"Barajevo, RS","11460, RS"
"Beljina, RS","11461, RS"
"Veliki Borak, RS","11462, RS"
"Banatski Dvor, RS","11467, RS"
"Obrenovac, RS","11500, RS"
"Barič, RS","11504, RS"
"Zabrežje, RS","11505, RS"
"Draževac, RS","11506, RS"
"Stubline, RS","11507, RS"
"Grabovac, RS","11508, RS"
"Skela, RS","11509, RS"
"Lazarevac, RS","11550, RS"
"Vreoci, RS","11560, RS"
"Dudovica, RS","11561, RS"
"Junkovac, RS","11562, RS"
"Veliki Crljeni, RS","11563, RS"
"Stepojevac, RS","11564, RS"
"Baroševac, RS","11565, RS"
"Rudovci, RS","11566, RS"
"Mirosaljci, RS","11567, RS"
"Požarevac, RS","12000, RS"
"Bradarac, RS","12206, RS"
"Dubravica, RS","12207, RS"
"Kostolac, RS","12208, RS"
"Kličevac, RS","12209, RS"
"Veliko Gradište, RS","12220, RS"
"Majilovac, RS","12221, RS"
"Braničevo, RS","12222, RS"
"Golubac, RS","12223, RS"
"Dobra, RS","12224, RS"
"Topolovnik, RS","12226, RS"
"Bare, RS","12227, RS"
"Vinci, RS","12229, RS"
"Brnjica, RS","12230, RS"
"Kučevo, RS","12240, RS"
"Neresnica, RS","12242, RS"
"Srednjevo, RS","12253, RS"
"Rabrovo, RS","12254, RS"
"Duboka, RS","12255, RS"
"Voluja, RS","12256, RS"
"Turija (Kučevo), RS","12257, RS"
"Klenje, RS","12258, RS"
"Petrovac na Mlavi, RS","12300, RS"
"Kladurovo, RS","12304, RS"
"Ranovac, RS","12304, RS"
"Melnica, RS","12305, RS"
