city,zip
"Straits Boulevard, SG","18906, SG"
"Straits Boulevard, SG","18907, SG"
"Marina Gardens Drive, SG","18910, SG"
"Central Boulevard, SG","18915, SG"
"Central Boulevard, SG","18916, SG"
"Park Street, SG","18925, SG"
"Park Street, SG","18926, SG"
"Park Street, SG","18927, SG"
"Park Street, SG","18928, SG"
"Park Street, SG","18929, SG"
"Marina South Drive, SG","18930, SG"
"Straits View, SG","18935, SG"
"Straits View, SG","18936, SG"
"Straits View, SG","18937, SG"
"Marina Boulevard, SG","18940, SG"
"Marina Coastal Drive, SG","18946, SG"
"Marina Coastal Drive, SG","18947, SG"
"Marina Coastal Drive, SG","18948, SG"
"Marina Gardens Drive, SG","18951, SG"
"Marina Gardens Drive, SG","18953, SG"
"Bayfront Avenue, SG","18955, SG"
"Bayfront Avenue, SG","18956, SG"
"Bayfront Avenue, SG","18957, SG"
"Bayfront Avenue, SG","18958, SG"
"Bayfront Avenue, SG","18959, SG"
"Marina View, SG","18960, SG"
"Marina View, SG","18961, SG"
"Marina View, SG","18962, SG"
"Central Boulevard, SG","18965, SG"
"Central Boulevard, SG","18969, SG"
"Bayfront Avenue, SG","18971, SG"
"Bayfront Avenue, SG","18972, SG"
"Bayfront Avenue, SG","18973, SG"
"Bayfront Avenue, SG","18974, SG"
"Marina Way, SG","18978, SG"
"Marina Way, SG","18979, SG"
"Marina Boulevard, SG","18980, SG"
"Marina Boulevard, SG","18981, SG"
"Marina Boulevard, SG","18982, SG"
"Marina Boulevard, SG","18983, SG"
"Marina Boulevard, SG","18984, SG"
"Marina Boulevard, SG","18985, SG"
"Marina Boulevard, SG","18986, SG"
"Marina Boulevard, SG","18987, SG"
"Marina Coastal Drive, SG","18988, SG"
"Marina Boulevard, SG","18989, SG"
"Marina Mall, SG","19396, SG"
"Marina Mall, SG","19397, SG"
"Marina Green, SG","19800, SG"
"Marina East Drive, SG","29996, SG"
"Marina East Drive, SG","29997, SG"
"Republic Avenue, SG","38970, SG"
"Republic Boulevard, SG","38975, SG"
"Esplanade Drive, SG","38980, SG"
"Esplanade Drive, SG","38981, SG"
"Temasek Boulevard, SG","38982, SG"
"Temasek Boulevard, SG","38983, SG"
"Temasek Boulevard, SG","38985, SG"
"Temasek Boulevard, SG","38986, SG"
"Temasek Boulevard, SG","38987, SG"
"Temasek Boulevard, SG","38988, SG"
"Temasek Boulevard, SG","38989, SG"
"Temasek Avenue, SG","39190, SG"
"Temasek Avenue, SG","39192, SG"
"Temasek Avenue, SG","39193, SG"
"Temasek Avenue, SG","39194, SG"
"Raffles Link, SG","39392, SG"
"Raffles Link, SG","39393, SG"
"Raffles Boulevard, SG","39593, SG"
"Raffles Boulevard, SG","39594, SG"
"Raffles Boulevard, SG","39595, SG"
"Raffles Boulevard, SG","39596, SG"
"Raffles Avenue, SG","39797, SG"
"Raffles Avenue, SG","39799, SG"
"Raffles Avenue, SG","39801, SG"
"Raffles Avenue, SG","39802, SG"
"Raffles Avenue, SG","39803, SG"
"Raffles Avenue, SG","39805, SG"
"Cross Street, SG","48416, SG"
"Cross Street, SG","48417, SG"
"Cross Street, SG","48418, SG"
"Cross Street, SG","48421, SG"
"Cross Street, SG","48422, SG"
"Cross Street, SG","48423, SG"
"Cross Street, SG","48424, SG"
"Telok Ayer Street, SG","48441, SG"
"Telok Ayer Street, SG","48462, SG"
"Telok Ayer Street, SG","48464, SG"
"Telok Ayer Street, SG","48466, SG"
"Telok Ayer Street, SG","48467, SG"
"Telok Ayer Street, SG","48468, SG"
"Telok Ayer Street, SG","48469, SG"
"Telok Ayer Street, SG","48470, SG"
"Telok Ayer Street, SG","48471, SG"
"Telok Ayer Street, SG","48472, SG"
"Telok Ayer Street, SG","48473, SG"
"Telok Ayer Street, SG","48474, SG"
"South Canal Road, SG","48508, SG"
"Robinson Road, SG","48542, SG"
"Robinson Road, SG","48543, SG"
"Robinson Road, SG","48544, SG"
"Robinson Road, SG","48545, SG"
"Robinson Road, SG","48547, SG"
"Raffles Quay, SG","48580, SG"
"Raffles Quay, SG","48581, SG"
"Raffles Quay, SG","48582, SG"
"Raffles Quay, SG","48583, SG"
"Raffles Place, SG","48616, SG"
"Raffles Place, SG","48617, SG"
"Raffles Place, SG","48618, SG"
"Raffles Place, SG","48619, SG"
"Raffles Place, SG","48621, SG"
"Raffles Place, SG","48622, SG"
"Raffles Place, SG","48623, SG"
"Raffles Place, SG","48624, SG"
"Raffles Place, SG","48625, SG"
"Pickering Street, SG","48658, SG"
"Pickering Street, SG","48659, SG"
"Pickering Street, SG","48660, SG"
"Phillip Street, SG","48692, SG"
"Phillip Street, SG","48693, SG"
"Phillip Street, SG","48694, SG"
"Phillip Street, SG","48695, SG"
"Phillip Street, SG","48696, SG"
"Pekin Street, SG","48761, SG"
"Pekin Street, SG","48762, SG"
"Pekin Street, SG","48763, SG"
"Pekin Street, SG","48764, SG"
"Pekin Street, SG","48765, SG"
"Pekin Street, SG","48766, SG"
"Pekin Street, SG","48767, SG"
"Pekin Street, SG","48768, SG"
"Pekin Street, SG","48769, SG"
"Pekin Street, SG","48770, SG"
"Pekin Street, SG","48772, SG"
"Pekin Street, SG","48773, SG"
"Pekin Street, SG","48774, SG"
"Pekin Street, SG","48775, SG"
"Pekin Street, SG","48776, SG"
"Pekin Street, SG","48777, SG"
"Pekin Street, SG","48778, SG"
"Pekin Street, SG","48779, SG"
"Pekin Street, SG","48780, SG"
"Pekin Street, SG","48781, SG"
"Pekin Street, SG","48782, SG"
"North Canal Road, SG","48815, SG"
"North Canal Road, SG","48816, SG"
"North Canal Road, SG","48817, SG"
"North Canal Road, SG","48818, SG"
"North Canal Road, SG","48819, SG"
"North Canal Road, SG","48820, SG"
"North Canal Road, SG","48821, SG"
"North Canal Road, SG","48822, SG"
"North Canal Road, SG","48823, SG"
"North Canal Road, SG","48824, SG"
"North Canal Road, SG","48825, SG"
"North Canal Road, SG","48826, SG"
"North Canal Road, SG","48828, SG"
"North Canal Road, SG","48829, SG"
"North Canal Road, SG","48830, SG"
"North Canal Road, SG","48831, SG"
"North Canal Road, SG","48832, SG"
"North Canal Road, SG","48833, SG"
"North Canal Road, SG","48834, SG"
"Market Street, SG","48940, SG"
"Market Street, SG","48941, SG"
"Market Street, SG","48942, SG"
"Market Street, SG","48943, SG"
"Market Street, SG","48946, SG"
"Market Street, SG","48947, SG"
"Market Street, SG","48948, SG"
"Malacca Street, SG","48979, SG"
"Malacca Street, SG","48980, SG"
"Lorong Telok, SG","49014, SG"
"Lorong Telok, SG","49015, SG"
"Lorong Telok, SG","49016, SG"
"Lorong Telok, SG","49017, SG"
"Lorong Telok, SG","49018, SG"
"Lorong Telok, SG","49019, SG"
"Lorong Telok, SG","49023, SG"
"Lorong Telok, SG","49024, SG"
"Lorong Telok, SG","49025, SG"
"Lorong Telok, SG","49026, SG"
"Lorong Telok, SG","49027, SG"
"Lorong Telok, SG","49028, SG"
"Lorong Telok, SG","49031, SG"
"Lorong Telok, SG","49032, SG"
"Lorong Telok, SG","49033, SG"
"Lorong Telok, SG","49034, SG"
"Lorong Telok, SG","49035, SG"
"Lorong Telok, SG","49036, SG"
"Lorong Telok, SG","49037, SG"
"George Street, SG","49144, SG"
"George Street, SG","49145, SG"
"Fullerton Square, SG","49178, SG"
"Fullerton Road, SG","49213, SG"
"Fullerton Road, SG","49215, SG"
"Finlayson Green, SG","49246, SG"
"Finlayson Green, SG","49247, SG"
"Collyer Quay, SG","49315, SG"
"Collyer Quay, SG","49317, SG"
"Collyer Quay, SG","49318, SG"
"Collyer Quay, SG","49319, SG"
"Collyer Quay, SG","49320, SG"
"Collyer Quay, SG","49321, SG"
"Collyer Quay, SG","49322, SG"
"Collyer Quay, SG","49323, SG"
"Collyer Quay, SG","49325, SG"
"Collyer Quay, SG","49326, SG"
"Collyer Quay, SG","49327, SG"
"Circular Road, SG","49357, SG"
"Circular Road, SG","49358, SG"
"Circular Road, SG","49359, SG"
"Circular Road, SG","49360, SG"
"Circular Road, SG","49361, SG"
"Circular Road, SG","49362, SG"
"Circular Road, SG","49363, SG"
"Circular Road, SG","49364, SG"
"Circular Road, SG","49365, SG"
"Circular Road, SG","49366, SG"
"Circular Road, SG","49367, SG"
"Circular Road, SG","49368, SG"
"Circular Road, SG","49369, SG"
"Circular Road, SG","49370, SG"
"Circular Road, SG","49371, SG"
"Circular Road, SG","49372, SG"
"Circular Road, SG","49373, SG"
"Circular Road, SG","49374, SG"
"Circular Road, SG","49376, SG"
"Circular Road, SG","49377, SG"
"Circular Road, SG","49378, SG"
"Circular Road, SG","49379, SG"
"Circular Road, SG","49380, SG"
"Circular Road, SG","49381, SG"
"Circular Road, SG","49382, SG"
"Circular Road, SG","49383, SG"
"Circular Road, SG","49384, SG"
"Circular Road, SG","49385, SG"
"Circular Road, SG","49386, SG"
"Circular Road, SG","49387, SG"
"Circular Road, SG","49388, SG"
"Circular Road, SG","49389, SG"
"Circular Road, SG","49390, SG"
"Circular Road, SG","49391, SG"
"Circular Road, SG","49392, SG"
"Circular Road, SG","49393, SG"
"Circular Road, SG","49394, SG"
"Circular Road, SG","49395, SG"
"Circular Road, SG","49396, SG"
"Circular Road, SG","49397, SG"
"Circular Road, SG","49398, SG"
"Circular Road, SG","49400, SG"
"Circular Road, SG","49401, SG"
"Circular Road, SG","49402, SG"
"Circular Road, SG","49403, SG"
"Circular Road, SG","49404, SG"
"Circular Road, SG","49405, SG"
"Circular Road, SG","49406, SG"
"Circular Road, SG","49407, SG"
"Circular Road, SG","49409, SG"
"Circular Road, SG","49411, SG"
"Circular Road, SG","49412, SG"
