state,city,town,zip
"Banskobystrický kraj, SK","Bečov, BC","Banská Bystrica, BC","974 01, BC"
"Banskobystrický kraj, SK","Dolná Mičiná, BC","Banská Bystrica, BC","974 01, BC"
"Banskobystrický kraj, SK","Čačín, BC","Banská Bystrica, BC","974 01, BC"
"Banskobystrický kraj, SK","Polkanová (č.d.1,2,3, BC","Banská Bystrica, BC","974 01, BC"
"Banskobystrický kraj, SK","Jakub, BC","Banská Bystrica, BC","974 01, BC"
"Banskobystrický kraj, SK","Prostredná Môlča, BC","Banská Bystrica, BC","974 01, BC"
"Banskobystrický kraj, SK","Uľanka, BC","Banská Bystrica, BC","974 01, BC"
"Banskobystrický kraj, SK","Riečka, BC","Banská Bystrica, BC","974 01, BC"
"Banskobystrický kraj, SK","Horná Mičiná, BC","Banská Bystrica, BC","974 01, BC"
"Banskobystrický kraj, SK","Skubín, BC","Banská Bystrica, BC","974 01, BC"
"Banskobystrický kraj, SK","Senica, BC","Banská Bystrica, BC","974 01, BC"
"Banskobystrický kraj, SK","Sebedín, BC","Banská Bystrica, BC","974 01, BC"
"Banskobystrický kraj, SK","Kostiviarska, BC","Banská Bystrica, BC","974 01, BC"
"Banskobystrický kraj, SK","Kynceľová, BC","Banská Bystrica, BC","974 01, BC"
"Banskobystrický kraj, SK","Čerín, BC","Banská Bystrica, BC","974 01, BC"
"Banskobystrický kraj, SK","Špania Dolina, BC","Banská Bystrica, BC","974 01, BC"
"Banskobystrický kraj, SK","Majer, BC","Banská Bystrica, BC","974 01, BC"
"Banskobystrický kraj, SK","Sebedín - Bečov, BC","Banská Bystrica, BC","974 01, BC"
"Banskobystrický kraj, SK","Šalková, BC","Banská Bystrica, BC","974 01, BC"
"Banskobystrický kraj, SK","Nemce, BC","Banská Bystrica, BC","974 01, BC"
"Banskobystrický kraj, SK","Môlča, BC","Banská Bystrica, BC","974 01, BC"
"Banskobystrický kraj, SK","Podlavice, BC","Banská Bystrica, BC","974 01, BC"
"Banskobystrický kraj, SK","Horná Môlča, BC","Banská Bystrica, BC","974 01, BC"
"Banskobystrický kraj, SK","Dolná Môlča, BC","Banská Bystrica, BC","974 01, BC"
