city,zip
"Ljubljana - dostava, SI","1000, SI"
"Ljubljana - poštni predali, SI","1001, SI"
"Ljubljana Šentvid, SI","1210, SI"
"Ljubljana-Šmartno, SI","1211, SI"
"Medvode, SI","1215, SI"
"Smlednik, SI","1216, SI"
"Vodice, SI","1217, SI"
"Komenda, SI","1218, SI"
"Laze v Tuhinju, SI","1219, SI"
"Motnik, SI","1221, SI"
"Trojane, SI","1222, SI"
"Blagovica, SI","1223, SI"
"Lukovica, SI","1225, SI"
"Domžale, SI","1230, SI"
"Ljubljana Črnuče, SI","1231, SI"
"Dob, SI","1233, SI"
"Mengeš, SI","1234, SI"
"Radomlje, SI","1235, SI"
"Trzin, SI","1236, SI"
"Kamnik, SI","1241, SI"
"Stahovica, SI","1242, SI"
"Moravče, SI","1251, SI"
"Vače, SI","1252, SI"
"Ljubljana Polje, SI","1260, SI"
"Ljubljana-Dobrunje, SI","1261, SI"
"Dol pri Ljubljani, SI","1262, SI"
"Litija, SI","1270, SI"
"Polšnik, SI","1272, SI"
"Dole pri Litiji, SI","1273, SI"
"Gabrovka, SI","1274, SI"
"Šmartno pri Litiji, SI","1275, SI"
"Primskovo, SI","1276, SI"
"Kresnice, SI","1281, SI"
"Sava, SI","1282, SI"
"Grosuplje, SI","1290, SI"
"Škofljica, SI","1291, SI"
"Ig, SI","1292, SI"
"Šmarje-Sap, SI","1293, SI"
"Višnja Gora, SI","1294, SI"
"Ivančna Gorica, SI","1295, SI"
"Šentvid pri Stični, SI","1296, SI"
"Krka, SI","1301, SI"
"Zagradec, SI","1303, SI"
"Ribnica, SI","1310, SI"
"Turjak, SI","1311, SI"
"Videm-Dobrepolje, SI","1312, SI"
"Struge, SI","1313, SI"
"Rob, SI","1314, SI"
"Velike Lašče, SI","1315, SI"
"Ortnek, SI","1316, SI"
"Sodražica, SI","1317, SI"
"Loški Potok, SI","1318, SI"
"Draga, SI","1319, SI"
"Kočevje, SI","1330, SI"
"Dolenja vas, SI","1331, SI"
"Stara Cerkev, SI","1332, SI"
"Vas, SI","1336, SI"
"Osilnica, SI","1337, SI"
"Kočevska Reka, SI","1338, SI"
"Brezovica pri Ljubljani, SI","1351, SI"
"Preserje, SI","1352, SI"
"Borovnica, SI","1353, SI"
"Horjul, SI","1354, SI"
"Polhov Gradec, SI","1355, SI"
"Dobrova, SI","1356, SI"
"Notranje Gorice, SI","1357, SI"
"Log pri Brezovici, SI","1358, SI"
"Vrhnika, SI","1360, SI"
"Logatec, SI","1370, SI"
"Logatec, SI","1371, SI"
"Hotedršica, SI","1372, SI"
"Rovte, SI","1373, SI"
"Cerknica, SI","1380, SI"
"Rakek, SI","1381, SI"
"Begunje pri Cerknici, SI","1382, SI"
"Grahovo, SI","1384, SI"
"Nova vas, SI","1385, SI"
"Stari trg pri Ložu, SI","1386, SI"
"Zagorje ob Savi, SI","1410, SI"
"Izlake, SI","1411, SI"
"Kisovec, SI","1412, SI"
"Čemšenik, SI","1413, SI"
"Podkum, SI","1414, SI"
"Trbovlje, SI","1420, SI"
"Dobovec, SI","1423, SI"
"Hrastnik, SI","1430, SI"
"Dol pri Hrastniku, SI","1431, SI"
"Zidani Most, SI","1432, SI"
"Radeče, SI","1433, SI"
"Loka pri Zidanem Mostu, SI","1434, SI"
"Ljubljana, SI","1500, SI"
"Ljubljana, SI","1501, SI"
"Ljubljana, SI","1502, SI"
"Ljubljana, SI","1503, SI"
"Ljubljana, SI","1504, SI"
"Ljubljana, SI","1505, SI"
"Ljubljana, SI","1506, SI"
"Ljubljana, SI","1507, SI"
"Ljubljana, SI","1508, SI"
"Ljubljana, SI","1509, SI"
"Ljubljana, SI","1510, SI"
"Ljubljana, SI","1511, SI"
