city,zip
"Pretoria, ZA","2, ZA"
"Pretoria, ZA","3, ZA"
"Pretoria, ZA","4, ZA"
"Pretoria, ZA","5, ZA"
"Pretoria, ZA","6, ZA"
"Pretoria, ZA","7, ZA"
"Atteridgeville, ZA","8, ZA"
"Pretoria, ZA","8, ZA"
"Pretoria, ZA","9, ZA"
"Pretoria, ZA","10, ZA"
"Glenstantia, ZA","10, ZA"
"Pretoria, ZA","11, ZA"
"Pretoria, ZA","12, ZA"
"Centurion, ZA","14, ZA"
"Pretoria, ZA","14, ZA"
"Pretoria, ZA","16, ZA"
"Doornpoort, ZA","17, ZA"
"Pretoria, ZA","17, ZA"
"Pretoria, ZA","18, ZA"
"Pretoria, ZA","19, ZA"
"Pretoria, ZA","20, ZA"
"Pretoria, ZA","21, ZA"
"Pretoria, ZA","22, ZA"
"Eersterus, ZA","22, ZA"
"Pretoria, ZA","23, ZA"
"Pretoria, ZA","24, ZA"
"Pretoria, ZA","25, ZA"
"Pretoria, ZA","26, ZA"
"Pretoria, ZA","27, ZA"
"Pretoria, ZA","28, ZA"
"Pretoria, ZA","29, ZA"
"Philip Nel Park, ZA","29, ZA"
"Pretoria, ZA","30, ZA"
"Pretoria, ZA","31, ZA"
"Pretoria, ZA","32, ZA"
"Pretoria, ZA","33, ZA"
"Derdepoortpark, ZA","35, ZA"
"Pretoria, ZA","35, ZA"
"Pretoria, ZA","36, ZA"
"Laudium, ZA","37, ZA"
"Pretoria, ZA","37, ZA"
"Pretoria, ZA","39, ZA"
"Menlo Park, ZA","40, ZA"
"Pretoria, ZA","41, ZA"
"Menlo Park, ZA","42, ZA"
"Garsfontein, ZA","42, ZA"
"Faerie Glen, ZA","43, ZA"
"Pretoria, ZA","43, ZA"
"Moreletapark, ZA","44, ZA"
"Pretoria, ZA","44, ZA"
"Pretoria, ZA","45, ZA"
"Centurion, ZA","46, ZA"
"Pretoria, ZA","47, ZA"
"Pretoria, ZA","48, ZA"
"Pretoria, ZA","49, ZA"
"Pretoria, ZA","50, ZA"
"Wapadrand, ZA","50, ZA"
"Centurion, ZA","51, ZA"
"Lyttelton, ZA","51, ZA"
"Pretoria, ZA","52, ZA"
"Pretoria, ZA","53, ZA"
"Pretoria, ZA","54, ZA"
"Pretoria, ZA","55, ZA"
"Pretoria, ZA","56, ZA"
"Pretoria, ZA","57, ZA"
"Pretoria, ZA","58, ZA"
"Pretoria, ZA","59, ZA"
"Menlo Park, ZA","60, ZA"
"Pretoria, ZA","61, ZA"
"Pretoria, ZA","62, ZA"
"Pretoria, ZA","63, ZA"
"Pretoria, ZA","65, ZA"
"Pretoria North, ZA","66, ZA"
"Hercules, ZA","68, ZA"
"Pretoria West, ZA","70, ZA"
"Pretoria, ZA","71, ZA"
"Moreletapark, ZA","72, ZA"
"Pretoria, ZA","73, ZA"
"Pretoria, ZA","74, ZA"
"Kromdraai, ZA","76, ZA"
"Pretoria, ZA","78, ZA"
"Pretoria, ZA","79, ZA"
"Pretoria, ZA","80, ZA"
"Menlo Park, ZA","81, ZA"
"Faerie Glen, ZA","81, ZA"
"Garsfontein, ZA","81, ZA"
"Moreletapark, ZA","81, ZA"
"Wapadrand, ZA","81, ZA"
"Kromdraai, ZA","81, ZA"
"Pretoria, ZA","81, ZA"
"Pretoria, ZA","82, ZA"
