state,city,town,zip
"Andalucia, ES","Almeria, AN","Almería, AN","4001, AN"
"Andalucia, ES","Almeria, AN","Almería, AN","4002, AN"
"Andalucia, ES","El Palmer, AN","Almería, AN","4002, AN"
"Andalucia, ES","Almeria, AN","Almería, AN","4003, AN"
"Andalucia, ES","Almeria, AN","Almería, AN","4004, AN"
"Andalucia, ES","Almeria, AN","Almería, AN","4005, AN"
"Andalucia, ES","Almeria, AN","Almería, AN","4006, AN"
"Andalucia, ES","Almeria, AN","Almería, AN","4007, AN"
"Andalucia, ES","Almeria, AN","Almería, AN","4008, AN"
"Andalucia, ES","Almeria, AN","Almería, AN","4009, AN"
"Andalucia, ES","Almeria, AN","Almería, AN","4070, AN"
"Andalucia, ES","Almeria, AN","Almería, AN","4071, AN"
"Andalucia, ES","Almeria, AN","Almería, AN","4080, AN"
"Andalucia, ES","Nijar, AN","Almería, AN","4100, AN"
"Andalucia, ES","Campohermoso, AN","Almería, AN","4110, AN"
"Andalucia, ES","El Viso, AN","Almería, AN","4113, AN"
"Andalucia, ES","Atochares, AN","Almería, AN","4113, AN"
"Andalucia, ES","Venta Del Pobre, AN","Almería, AN","4114, AN"
"Andalucia, ES","Torre Del Campo, AN","Almería, AN","4114, AN"
"Andalucia, ES","Los Cortijillos, AN","Almería, AN","4114, AN"
"Andalucia, ES","Tristanes, AN","Almería, AN","4114, AN"
"Andalucia, ES","Saladar Y Leche, AN","Almería, AN","4114, AN"
"Andalucia, ES","Polopos, AN","Almería, AN","4114, AN"
"Andalucia, ES","Rodalquilar, AN","Almería, AN","4115, AN"
"Andalucia, ES","Albaricoques, AN","Almería, AN","4116, AN"
"Andalucia, ES","Hornillos, AN","Almería, AN","4116, AN"
"Andalucia, ES","Fernanperez, AN","Almería, AN","4116, AN"
"Andalucia, ES","Hortichuelas, AN","Almería, AN","4116, AN"
"Andalucia, ES","Las Negras, AN","Almería, AN","4116, AN"
"Andalucia, ES","Los Nietos, AN","Almería, AN","4117, AN"
"Andalucia, ES","Boca De Los Frailes, AN","Almería, AN","4117, AN"
"Andalucia, ES","Pozo De Los Frailes, AN","Almería, AN","4117, AN"
"Andalucia, ES","El Barranquete, AN","Almería, AN","4117, AN"
"Andalucia, ES","Cuevas Del Lino, AN","Almería, AN","4117, AN"
"Andalucia, ES","San Isidro De Nijar, AN","Almería, AN","4117, AN"
"Andalucia, ES","Pueblo Blanco, AN","Almería, AN","4117, AN"
