state,city,town,zip
"Kanton Aargau, CH","Aarau, AG","Bezirk Aarau, AG","5000, AG"
"Kanton Aargau, CH","Aarau 1, AG","Bezirk Aarau, AG","5001, AG"
"Kanton Aargau, CH","Aarau, AG","Bezirk Aarau, AG","5004, AG"
"Kanton Aargau, CH","Barmelweid, AG","Bezirk Aarau, AG","5017, AG"
"Kanton Aargau, CH","Erlinsbach, AG","Bezirk Aarau, AG","5018, AG"
"Kanton Aargau, CH","Rombach, AG","Bezirk Aarau, AG","5022, AG"
"Kanton Aargau, CH","Biberstein, AG","Bezirk Aarau, AG","5023, AG"
"Kanton Aargau, CH","Küttigen, AG","Bezirk Aarau, AG","5024, AG"
"Kanton Aargau, CH","Asp, AG","Bezirk Aarau, AG","5025, AG"
"Kanton Aargau, CH","Densbüren, AG","Bezirk Aarau, AG","5026, AG"
"Kanton Aargau, CH","Aarau Rohr, AG","Bezirk Aarau, AG","5032, AG"
"Kanton Aargau, CH","Buchs AG, AG","Bezirk Aarau, AG","5033, AG"
"Kanton Aargau, CH","Suhr, AG","Bezirk Aarau, AG","5034, AG"
"Kanton Aargau, CH","Unterentfelden, AG","Bezirk Aarau, AG","5035, AG"
"Kanton Aargau, CH","Oberentfelden, AG","Bezirk Aarau, AG","5036, AG"
"Kanton Aargau, CH","Muhen, AG","Bezirk Aarau, AG","5037, AG"
"Kanton Aargau, CH","Hirschthal, AG","Bezirk Aarau, AG","5042, AG"
"Kanton Aargau, CH","Gränichen, AG","Bezirk Aarau, AG","5722, AG"
"Kanton Aargau, CH","Turgi, AG","Bezirk Baden, AG","5300, AG"
"Kanton Aargau, CH","Siggenthal Station, AG","Bezirk Baden, AG","5301, AG"
"Kanton Aargau, CH","Würenlingen, AG","Bezirk Baden, AG","5303, AG"
"Kanton Aargau, CH","Baden, AG","Bezirk Baden, AG","5400, AG"
"Kanton Aargau, CH","Baden, AG","Bezirk Baden, AG","5401, AG"
"Kanton Aargau, CH","Baden, AG","Bezirk Baden, AG","5402, AG"
"Kanton Aargau, CH","Baden, AG","Bezirk Baden, AG","5404, AG"
"Kanton Aargau, CH","Baden, AG","Bezirk Baden, AG","5405, AG"
"Kanton Aargau, CH","Dättwil AG, AG","Bezirk Baden, AG","5405, AG"
"Kanton Aargau, CH","Baden, AG","Bezirk Baden, AG","5406, AG"
"Kanton Aargau, CH","Rütihof, AG","Bezirk Baden, AG","5406, AG"
"Kanton Aargau, CH","Ennetbaden, AG","Bezirk Baden, AG","5408, AG"
"Kanton Aargau, CH","Gebenstorf, AG","Bezirk Baden, AG","5412, AG"
"Kanton Aargau, CH","Vogelsang AG, AG","Bezirk Baden, AG","5412, AG"
"Kanton Aargau, CH","Birmenstorf AG, AG","Bezirk Baden, AG","5413, AG"
"Kanton Aargau, CH","Nussbaumen AG, AG","Bezirk Baden, AG","5415, AG"
"Kanton Aargau, CH","Rieden AG, AG","Bezirk Baden, AG","5415, AG"
"Kanton Aargau, CH","Hertenstein AG, AG","Bezirk Baden, AG","5415, AG"
"Kanton Aargau, CH","Kirchdorf AG, AG","Bezirk Baden, AG","5416, AG"
"Kanton Aargau, CH","Untersiggenthal, AG","Bezirk Baden, AG","5417, AG"
"Kanton Aargau, CH","Ehrendingen, AG","Bezirk Baden, AG","5420, AG"
