state,city,zip
"Bangkok, TH","Samphanthawong, TH","10100, TH"
"Bangkok, TH","Pom Prap Sattru Phai, TH","10100, TH"
"Bangkok, TH","Wattana, TH","10110, TH"
"Bangkok, TH","Bang Kholame, TH","10120, TH"
"Bangkok, TH","Yannawa, TH","10120, TH"
"Bangkok, TH","Rat Burana, TH","10140, TH"
"Bangkok, TH","Thung Khru, TH","10140, TH"
"Bangkok, TH","Bang Khun Thian, TH","10150, TH"
"Bangkok, TH","Bang Bon, TH","10150, TH"
"Bangkok, TH","Phasi Charoen, TH","10160, TH"
"Bangkok, TH","Nong Khaem, TH","10160, TH"
"Bangkok, TH","Bang Khae, TH","10160, TH"
"Bangkok, TH","Thawi Wattana, TH","10170, TH"
"Bangkok, TH","Taling Chan, TH","10170, TH"
"Bangkok, TH","Phra Nakhon, TH","10200, TH"
"Bangkok, TH","Lak Si, TH","10210, TH"
"Bangkok, TH","Bang Khen, TH","10220, TH"
"Bangkok, TH","Sai Mai, TH","10220, TH"
"Bangkok, TH","Lat Phrao, TH","10230, TH"
"Bangkok, TH","Khanna Yao, TH","10230, TH"
"Bangkok, TH","Saphan Sung B39, TH","10240, TH"
"Bangkok, TH","Bang Kapi, TH","10240, TH"
"Bangkok, TH","Bung Kum, TH","10240, TH"
"Bangkok, TH","Pra Vet, TH","10250, TH"
"Bangkok, TH","Suang Luang, TH","10250, TH"
"Bangkok, TH","Bang Na, TH","10260, TH"
"Bangkok, TH","Phra Khanong, TH","10260, TH"
"Bangkok, TH","Dusit, TH","10300, TH"
"Bangkok, TH","Wangthong Lang, TH","10310, TH"
"Bangkok, TH","Huai Khwang, TH","10320, TH"
"Bangkok, TH","Pahtum Wan, TH","10330, TH"
"Bangkok, TH","Ding Daeng, TH","10400, TH"
"Bangkok, TH","Phaya Thai, TH","10400, TH"
"Bangkok, TH","Bang Rak, TH","10500, TH"
"Bangkok, TH","Khlong Samwa, TH","10510, TH"
"Bangkok, TH","Min Buri, TH","10510, TH"
"Bangkok, TH","Lat Krabang, TH","10520, TH"
"Bangkok, TH","Nong Chok, TH","10530, TH"
"Bangkok, TH","Bangkok Yai, TH","10600, TH"
"Bangkok, TH","Thon Buri, TH","10600, TH"
"Bangkok, TH","Khlong San, TH","10600, TH"
"Bangkok, TH","Bangkok Noi, TH","10700, TH"
"Bangkok, TH","Bang Plat, TH","10700, TH"
"Bangkok, TH","Bang Su, TH","10800, TH"
"Samut Prakan, TH","Phra Pradaeng, TH","10130, TH"
"Samut Prakan, TH","Muang Samut Prakan, TH","10270, TH"
"Samut Prakan, TH","Phra Samut Chedi, TH","10290, TH"
"Samut Prakan, TH","Bang Phli, TH","10540, TH"
"Samut Prakan, TH","Bang Saotong, TH","10540, TH"
"Samut Prakan, TH","Bang Bo, TH","10560, TH"
"Nonthaburi, TH","Muang Nonthaburi, TH","11000, TH"
"Nonthaburi, TH","Bang Bua Thong, TH","11110, TH"
"Nonthaburi, TH","Pak Kret, TH","11120, TH"
"Nonthaburi, TH","Bang Kruai, TH","11130, TH"
"Nonthaburi, TH","Bang Yai, TH","11140, TH"
"Nonthaburi, TH","Sai Noi, TH","11150, TH"
"Pathum Thani, TH","Muang Pathum Thani, TH","12000, TH"
"Pathum Thani, TH","Thanyaburi, TH","12110, TH"
"Pathum Thani, TH","Khlong Luang, TH","12120, TH"
"Pathum Thani, TH","Lat Lum Kaeo, TH","12140, TH"
"Pathum Thani, TH","Lam Luk Ka, TH","12150, TH"
"Pathum Thani, TH","Sam Khok, TH","12160, TH"
"Pathum Thani, TH","Nong Sua, TH","12170, TH"
"Phra Nakhon Si Ayutthaya, TH","Pharnakhon Si Ayutthaya, TH","13000, TH"
"Phra Nakhon Si Ayutthaya, TH","Sena, TH","13110, TH"
"Phra Nakhon Si Ayutthaya, TH","Pak Hai, TH","13120, TH"
"Phra Nakhon Si Ayutthaya, TH","Tha Rua, TH","13130, TH"
"Phra Nakhon Si Ayutthaya, TH","Phachi, TH","13140, TH"
"Phra Nakhon Si Ayutthaya, TH","Maha Rat, TH","13150, TH"
"Phra Nakhon Si Ayutthaya, TH","Bang Pa-In, TH","13160, TH"
"Phra Nakhon Si Ayutthaya, TH","Wang Noi, TH","13170, TH"
"Phra Nakhon Si Ayutthaya, TH","Bang Sai, TH","13190, TH"
"Phra Nakhon Si Ayutthaya, TH","Uthai, TH","13210, TH"
"Phra Nakhon Si Ayutthaya, TH","Bang Pahan, TH","13220, TH"
"Phra Nakhon Si Ayutthaya, TH","Lat Bua Luang, TH","13230, TH"
"Phra Nakhon Si Ayutthaya, TH","Ban Phraek, TH","13240, TH"
"Phra Nakhon Si Ayutthaya, TH","Bang Ban, TH","13250, TH"
"Phra Nakhon Si Ayutthaya, TH","Nakhon Luang, TH","13260, TH"
"Phra Nakhon Si Ayutthaya, TH","Bang Sai, TH","13270, TH"
"Ang Thong, TH","Muang ANG THONG, TH","14000, TH"
"Ang Thong, TH","Wiset Chai Chan, TH","14110, TH"
"Ang Thong, TH","Pho Thong, TH","14120, TH"
"Ang Thong, TH","Pa Mok, TH","14130, TH"
"Ang Thong, TH","Chaiyo, TH","14140, TH"
"Ang Thong, TH","Sawaengha, TH","14150, TH"
"Ang Thong, TH","Samko, TH","14160, TH"
"Lopburi, TH","Muang Lopburi, TH","15000, TH"
"Lopburi, TH","Ban Mi, TH","15110, TH"
"Lopburi, TH","Khok Samrong, TH","15120, TH"
"Lopburi, TH","Chai Badan, TH","15130, TH"
"Lopburi, TH","Tha Luang, TH","15130, TH"
"Lopburi, TH","Phattana Nikhom, TH","15140, TH"
"Lopburi, TH","Tha Wung, TH","15150, TH"
"Lopburi, TH","Nong Muang, TH","15170, TH"
"Lopburi, TH","Lum Sunthi, TH","15190, TH"
"Lopburi, TH","Sa Bot, TH","15240, TH"
"Lopburi, TH","Khok Charoen, TH","15250, TH"
"Sing Buri, TH","Muang Sing Buri, TH","16000, TH"
"Sing Buri, TH","In Buri, TH","16110, TH"
"Sing Buri, TH","Phrom Buri, TH","16120, TH"
"Sing Buri, TH","Bang Rachan, TH","16130, TH"
"Sing Buri, TH","Tha Chang, TH","16140, TH"
"Sing Buri, TH","Khai Bang Rachan, TH","16150, TH"
"Chai Nat, TH","Muang Chainat, TH","17000, TH"
"Chai Nat, TH","Nong Mamong, TH","17100, TH"
"Chai Nat, TH","Manorom, TH","17110, TH"
"Chai Nat, TH","Wat Sing, TH","17120, TH"
"Chai Nat, TH","Non Kham, TH","17130, TH"
"Chai Nat, TH","Hankha, TH","17130, TH"
"Chai Nat, TH","Sankhaburi, TH","17140, TH"
"Chai Nat, TH","Sanphaya, TH","17150, TH"
"Saraburi, TH","Muang Saraburi, TH","18000, TH"
"Saraburi, TH","Chaloem Phakiat, TH","18000, TH"
"Saraburi, TH","Kaeng Khoi, TH","18110, TH"
"Saraburi, TH","Phra Phutthabat, TH","18120, TH"
"Saraburi, TH","Ban Mo, TH","18130, TH"
"Saraburi, TH","Nong Khae, TH","18140, TH"
"Saraburi, TH","Wihan Daeng, TH","18150, TH"
"Saraburi, TH","Sao Hai, TH","18160, TH"
"Saraburi, TH","Nong Saeng, TH","18170, TH"
"Saraburi, TH","Muak Lek, TH","18180, TH"
"Saraburi, TH","Nong Doan, TH","18190, TH"
"Saraburi, TH","Don Phut, TH","18210, TH"
"Saraburi, TH","Wang Muang, TH","18220, TH"
"Chon Buri, TH","Muang Chonburi, TH","20000, TH"
"Chon Buri, TH","Si Racha, TH","20110, TH"
"Chon Buri, TH","Ko Sichang, TH","20120, TH"
"Chon Buri, TH","Phanat Nikhom, TH","20140, TH"
"Chon Buri, TH","Bang Lamung, TH","20150, TH"
"Chon Buri, TH","Phan Thong, TH","20160, TH"
"Chon Buri, TH","Ban Bung, TH","20170, TH"
"Chon Buri, TH","Sattahip, TH","20180, TH"
"Chon Buri, TH","Nong Yai, TH","20190, TH"
"Chon Buri, TH","Ko Chan, TH","20240, TH"
"Chon Buri, TH","Bo Thong, TH","20270, TH"
"Rayong, TH","Muang Rayong, TH","21000, TH"
"Rayong, TH","Khao Chamao, TH","21110, TH"
"Rayong, TH","Klaeng, TH","21110, TH"
"Rayong, TH","Ban Khai, TH","21120, TH"
"Rayong, TH","Ban Chang, TH","21130, TH"
"Rayong, TH","Pluak Daeng, TH","21140, TH"
"Rayong, TH","Nikhom Pattana, TH","21180, TH"
"Rayong, TH","Wang Chan, TH","21210, TH"
"Chanthaburi, TH","Muang Chanthaburi, TH","22000, TH"
"Chanthaburi, TH","Khlung, TH","22110, TH"
"Chanthaburi, TH","Tha Mai, TH","22120, TH"
"Chanthaburi, TH","Laem Sing, TH","22130, TH"
"Chanthaburi, TH","Pong Nam Ron, TH","22140, TH"
"Chanthaburi, TH","Makham, TH","22150, TH"
"Chanthaburi, TH","Na Yai Am, TH","22160, TH"
"Chanthaburi, TH","Kaeng Hang Maew, TH","22160, TH"
"Chanthaburi, TH","Soi Dao, TH","22180, TH"
"Chanthaburi, TH","Khao Kitchakut, TH","22210, TH"
"Trat, TH","Ko Kud, TH","23000, TH"
"Trat, TH","Muang Trat, TH","23000, TH"
"Trat, TH","Khlong Yai, TH","23110, TH"
"Trat, TH","Ko Chang, TH","23120, TH"
"Trat, TH","Laem Ngob, TH","23120, TH"
"Trat, TH","Khao Saming, TH","23130, TH"
"Trat, TH","Bo Rai, TH","23140, TH"
"Chachoengsao, TH","Khlong Kaen, TH","24000, TH"
"Chachoengsao, TH","Muang Chachoengsao, TH","24000, TH"
"Chachoengsao, TH","Bang Khla, TH","24110, TH"
"Chachoengsao, TH","Rachsan, TH","24120, TH"
"Chachoengsao, TH","Phanom Sarakham, TH","24120, TH"
"Chachoengsao, TH","Bang Pakong, TH","24130, TH"
"Chachoengsao, TH","Ban Pho, TH","24140, TH"
