state,city,town,zip
"Adiyaman, TR","Ağaçli,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Saraycik,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Gerger,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Çamiçi,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Yeşilyurt,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Korulu,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Seyitmahmut,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Aşağidağlica,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Kesertaş,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Koşarlar,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Oymakli,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Kiliç,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Taraksu(Gölyurt),  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Kaşyazi,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Dağdeviren,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Onevler,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Çobanpinari,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Beybostan,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Nakişli,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Cevizpinar,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Gündoğdu,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Köklüce,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Gümüşkaşik,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Kütüklü,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Geçitli,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Demirtaş,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Çifthisar,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Açma,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Ortaca,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Konacik,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Budakli,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Sutepe,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Gözpinar,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Güngörmüş,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Yukaridağlica,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Yenibardak,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Beşgöze,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Güzelsu,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Yayladali,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Gönen,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Dallarca,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Yağmurlu,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Gürgenli,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Üçkaya,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Eskikent,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Burçakli,  TR","Gerger,  TR","2700,  TR"
"Adiyaman, TR","Kirmacik,  TR","Samsat,  TR","2800,  TR"
"Adiyaman, TR","Kuştepe,  TR","Samsat,  TR","2800,  TR"
"Adiyaman, TR","Çiçek,  TR","Samsat,  TR","2800,  TR"
"Adiyaman, TR","Doğanca,  TR","Samsat,  TR","2800,  TR"
"Adiyaman, TR","Kovanoluk,  TR","Samsat,  TR","2800,  TR"
"Adiyaman, TR","Ovacik,  TR","Samsat,  TR","2800,  TR"
"Adiyaman, TR","Tepeönü,  TR","Samsat,  TR","2800,  TR"
"Adiyaman, TR","Göltarla,  TR","Samsat,  TR","2800,  TR"
"Adiyaman, TR","Taşkuyu,  TR","Samsat,  TR","2800,  TR"
"Adiyaman, TR","Samsat,  TR","Samsat,  TR","2800,  TR"
"Adiyaman, TR","Kizilöz,  TR","Samsat,  TR","2800,  TR"
"Adiyaman, TR","Yarimbağ,  TR","Samsat,  TR","2800,  TR"
"Adiyaman, TR","Bağarasi,  TR","Samsat,  TR","2800,  TR"
"Adiyaman, TR","Uzuntepe,  TR","Samsat,  TR","2800,  TR"
"Adiyaman, TR","Bayirli,  TR","Samsat,  TR","2800,  TR"
"Adiyaman, TR","Gülpinar,  TR","Samsat,  TR","2800,  TR"
"Adiyaman, TR","Akdamar,  TR","Samsat,  TR","2800,  TR"
"Adiyaman, TR","Çelikhan,  TR","Çelikhan,  TR","2600,  TR"
"Adiyaman, TR","Kalecik,  TR","Çelikhan,  TR","2600,  TR"
"Adiyaman, TR","Karaçayir,  TR","Çelikhan,  TR","2600,  TR"
"Adiyaman, TR","Gölbaği,  TR","Çelikhan,  TR","2600,  TR"
"Adiyaman, TR","Karagöl,  TR","Çelikhan,  TR","2600,  TR"
"Adiyaman, TR","Aksu,  TR","Çelikhan,  TR","2600,  TR"
"Adiyaman, TR","Köseuşaği,  TR","Çelikhan,  TR","2600,  TR"
"Adiyaman, TR","Recepköy,  TR","Çelikhan,  TR","2600,  TR"
"Adiyaman, TR","Taşdamlar,  TR","Çelikhan,  TR","2600,  TR"
"Adiyaman, TR","Korucak,  TR","Çelikhan,  TR","2600,  TR"
"Adiyaman, TR","Mutlu,  TR","Çelikhan,  TR","2600,  TR"
"Adiyaman, TR","Altintaş,  TR","Çelikhan,  TR","2600,  TR"
"Adiyaman, TR","Çampinar,  TR","Çelikhan,  TR","2600,  TR"
"Adiyaman, TR","Yeşiltepe,  TR","Çelikhan,  TR","2600,  TR"
"Adiyaman, TR","Yağizatli,  TR","Çelikhan,  TR","2600,  TR"
"Adiyaman, TR","Yeşilyayla,  TR","Çelikhan,  TR","2600,  TR"
"Adiyaman, TR","Fatih,  TR","Çelikhan,  TR","2600,  TR"
"Adiyaman, TR","Bozgedik,  TR","Çelikhan,  TR","2600,  TR"
"Adiyaman, TR","İzci,  TR","Çelikhan,  TR","2600,  TR"
"Adiyaman, TR","Pinarbaşi,  TR","Çelikhan,  TR","2610,  TR"
"Adiyaman, TR","Yoldüzü,  TR","Besni,  TR","2300,  TR"
"Adiyaman, TR","Kesecik,  TR","Besni,  TR","2300,  TR"
"Adiyaman, TR","Yelbasti,  TR","Besni,  TR","2300,  TR"
"Adiyaman, TR","Güzelyurt,  TR","Besni,  TR","2300,  TR"
"Adiyaman, TR","Çamlica,  TR","Besni,  TR","2300,  TR"
"Adiyaman, TR","Gümüşlü,  TR","Besni,  TR","2300,  TR"
"Adiyaman, TR","Bahri,  TR","Besni,  TR","2300,  TR"
"Adiyaman, TR","Kargali,  TR","Besni,  TR","2300,  TR"
"Adiyaman, TR","Pinarbaşi,  TR","Besni,  TR","2300,  TR"
"Adiyaman, TR","Bereketli,  TR","Besni,  TR","2300,  TR"
