state,city,town,zip
"Cherkaska, UA","Черкаси, UA","Cherkaska, UA","18000, UA"
"Cherkaska, UA","Черкаси, UA","Cherkaska, UA","18001, UA"
"Cherkaska, UA","Черкаси, UA","Cherkaska, UA","18002, UA"
"Cherkaska, UA","Черкаси, UA","Cherkaska, UA","18003, UA"
"Cherkaska, UA","Черкаси, UA","Cherkaska, UA","18005, UA"
"Cherkaska, UA","Черкаси, UA","Cherkaska, UA","18006, UA"
"Cherkaska, UA","Черкаси, UA","Cherkaska, UA","18007, UA"
"Cherkaska, UA","Черкаси, UA","Cherkaska, UA","18008, UA"
"Cherkaska, UA","Черкаси, UA","Cherkaska, UA","18009, UA"
"Cherkaska, UA","Черкаси, UA","Cherkaska, UA","18014, UA"
"Cherkaska, UA","Черкаси, UA","Cherkaska, UA","18015, UA"
"Cherkaska, UA","Черкаси, UA","Cherkaska, UA","18018, UA"
"Cherkaska, UA","Черкаси, UA","Cherkaska, UA","18020, UA"
"Cherkaska, UA","Черкаси, UA","Cherkaska, UA","18021, UA"
"Cherkaska, UA","Черкаси, UA","Cherkaska, UA","18023, UA"
"Cherkaska, UA","Черкаси, UA","Cherkaska, UA","18024, UA"
"Cherkaska, UA","Черкаси, UA","Cherkaska, UA","18028, UA"
"Cherkaska, UA","Черкаси, UA","Cherkaska, UA","18029, UA"
"Cherkaska, UA","Черкаси, UA","Cherkaska, UA","18030, UA"
"Cherkaska, UA","Черкаси, UA","Cherkaska, UA","18031, UA"
"Cherkaska, UA","Черкаси, UA","Cherkaska, UA","18032, UA"
"Cherkaska, UA","Черкаси, UA","Cherkaska, UA","18034, UA"
"Cherkaska, UA","Черкаси, UA","Cherkaska, UA","18035, UA"
"Cherkaska, UA","Черкаси, UA","Cherkaska, UA","18036, UA"
"Cherkaska, UA","Канів, UA","Kanivskyi, UA","19001, UA"
"Cherkaska, UA","Канів, UA","Kanivskyi, UA","19003, UA"
"Cherkaska, UA","Григорівка, UA","Kanivskyi, UA","19010, UA"
"Cherkaska, UA","Пшеничники, UA","Kanivskyi, UA","19011, UA"
"Cherkaska, UA","Трощин, UA","Kanivskyi, UA","19012, UA"
"Cherkaska, UA","Потапці, UA","Kanivskyi, UA","19013, UA"
"Cherkaska, UA","Бобриця, UA","Kanivskyi, UA","19014, UA"
"Cherkaska, UA","Грищинці, UA","Kanivskyi, UA","19015, UA"
"Cherkaska, UA","Козарівка, UA","Kanivskyi, UA","19016, UA"
"Cherkaska, UA","Бересняги, UA","Kanivskyi, UA","19017, UA"
"Cherkaska, UA","Черниші, UA","Kanivskyi, UA","19018, UA"
"Cherkaska, UA","Луковиця, UA","Kanivskyi, UA","19019, UA"
"Cherkaska, UA","Ліпляве, UA","Kanivskyi, UA","19020, UA"
"Cherkaska, UA","Озерище, UA","Kanivskyi, UA","19021, UA"
"Cherkaska, UA","Келеберда, UA","Kanivskyi, UA","19022, UA"
"Cherkaska, UA","Прохорівка, UA","Kanivskyi, UA","19023, UA"
"Cherkaska, UA","Сушки, UA","Kanivskyi, UA","19024, UA"
"Cherkaska, UA","Пекарі, UA","Kanivskyi, UA","19025, UA"
"Cherkaska, UA","Хмільна, UA","Kanivskyi, UA","19026, UA"
"Cherkaska, UA","Михайлівка, UA","Kanivskyi, UA","19027, UA"
"Cherkaska, UA","Трахтемирів, UA","Kanivskyi, UA","19028, UA"
"Cherkaska, UA","Лазірці, UA","Kanivskyi, UA","19029, UA"
"Cherkaska, UA","Литвинець, UA","Kanivskyi, UA","19030, UA"
"Cherkaska, UA","Степанці, UA","Kanivskyi, UA","19031, UA"
"Cherkaska, UA","Яблунів, UA","Kanivskyi, UA","19032, UA"
"Cherkaska, UA","Малий Ржавець, UA","Kanivskyi, UA","19033, UA"
"Cherkaska, UA","Кононча, UA","Kanivskyi, UA","19034, UA"
"Cherkaska, UA","Межиріч, UA","Kanivskyi, UA","19035, UA"
"Cherkaska, UA","Бабичі, UA","Kanivskyi, UA","19036, UA"
"Cherkaska, UA","Глинча, UA","Kanivskyi, UA","19037, UA"
"Cherkaska, UA","Курилівка, UA","Kanivskyi, UA","19038, UA"
"Cherkaska, UA","Гамарня, UA","Kanivskyi, UA","19039, UA"
"Cherkaska, UA","Копіювата, UA","Kanivskyi, UA","19040, UA"
"Cherkaska, UA","Мартинівка, UA","Kanivskyi, UA","19041, UA"
"Cherkaska, UA","Беркозівка, UA","Kanivskyi, UA","19042, UA"
"Cherkaska, UA","Мельники, UA","Kanivskyi, UA","19043, UA"
"Cherkaska, UA","Павлівка, UA","Kanivskyi, UA","19044, UA"
"Cherkaska, UA","Голяки, UA","Kanivskyi, UA","19045, UA"
"Cherkaska, UA","Бучак, UA","Kanivskyi, UA","19046, UA"
"Cherkaska, UA","Дарівка, UA","Kanivskyi, UA","19047, UA"
"Cherkaska, UA","Ковалі, UA","Kanivskyi, UA","19048, UA"
"Cherkaska, UA","Іваньків, UA","Kanivskyi, UA","19049, UA"
"Cherkaska, UA","Горобіївка, UA","Kanivskyi, UA","19050, UA"
"Cherkaska, UA","Буда Горобіївська, UA","Kanivskyi, UA","19051, UA"
"Cherkaska, UA","Таганча, UA","Kanivskyi, UA","19052, UA"
"Cherkaska, UA","Поташня, UA","Kanivskyi, UA","19053, UA"
"Cherkaska, UA","Синявка, UA","Kanivskyi, UA","19054, UA"
"Cherkaska, UA","Степанецьке, UA","Kanivskyi, UA","19055, UA"
"Cherkaska, UA","Тростянець, UA","Kanivskyi, UA","19056, UA"
"Cherkaska, UA","Пищальники, UA","Kanivskyi, UA","19057, UA"
"Cherkaska, UA","Орловець, UA","Kanivskyi, UA","19058, UA"
"Cherkaska, UA","Ключники, UA","Kanivskyi, UA","19059, UA"
"Cherkaska, UA","Попівка, UA","Kanivskyi, UA","19060, UA"
"Cherkaska, UA","Райок, UA","Kanivskyi, UA","19061, UA"
"Cherkaska, UA","Полствин, UA","Kanivskyi, UA","19062, UA"
"Cherkaska, UA","Лізки, UA","Kanivskyi, UA","19063, UA"
"Cherkaska, UA","Лука, UA","Kanivskyi, UA","19064, UA"
"Cherkaska, UA","Новоукраїнка, UA","Kanivskyi, UA","19065, UA"
"Cherkaska, UA","Студенець, UA","Kanivskyi, UA","19066, UA"
"Cherkaska, UA","Пилява, UA","Kanivskyi, UA","19067, UA"
"Cherkaska, UA","Копіювате, UA","Kanivskyi, UA","19068, UA"
"Cherkaska, UA","Хутір Хмільна, UA","Kanivskyi, UA","19069, UA"
"Cherkaska, UA","Монастирище, UA","Monastyryshchenskyi, UA","19101, UA"
"Cherkaska, UA","Лукашівка, UA","Monastyryshchenskyi, UA","19110, UA"
"Cherkaska, UA","Івахни, UA","Monastyryshchenskyi, UA","19111, UA"
"Cherkaska, UA","Долинка, UA","Monastyryshchenskyi, UA","19112, UA"
"Cherkaska, UA","Княжа Криниця, UA","Monastyryshchenskyi, UA","19113, UA"
"Cherkaska, UA","Цибулів, UA","Monastyryshchenskyi, UA","19114, UA"
"Cherkaska, UA","Забіляни, UA","Monastyryshchenskyi, UA","19117, UA"
"Cherkaska, UA","Кудинів Ліс, UA","Monastyryshchenskyi, UA","19118, UA"
"Cherkaska, UA","Тарасівка, UA","Monastyryshchenskyi, UA","19119, UA"
"Cherkaska, UA","Шарнопіль, UA","Monastyryshchenskyi, UA","19120, UA"
"Cherkaska, UA","Зарубинці, UA","Monastyryshchenskyi, UA","19121, UA"
"Cherkaska, UA","Княжики, UA","Monastyryshchenskyi, UA","19122, UA"
"Cherkaska, UA","Владиславчик, UA","Monastyryshchenskyi, UA","19123, UA"
"Cherkaska, UA","Зюбриха, UA","Monastyryshchenskyi, UA","19124, UA"
"Cherkaska, UA","Новосілка, UA","Monastyryshchenskyi, UA","19125, UA"
"Cherkaska, UA","Нове Місто, UA","Monastyryshchenskyi, UA","19126, UA"
"Cherkaska, UA","Антоніна, UA","Monastyryshchenskyi, UA","19127, UA"
"Cherkaska, UA","Коритня, UA","Monastyryshchenskyi, UA","19130, UA"
"Cherkaska, UA","Бубельня, UA","Monastyryshchenskyi, UA","19131, UA"
"Cherkaska, UA","Шабастівка, UA","Monastyryshchenskyi, UA","19132, UA"
"Cherkaska, UA","Сатанівка, UA","Monastyryshchenskyi, UA","19133, UA"
"Cherkaska, UA","Тарнава, UA","Monastyryshchenskyi, UA","19134, UA"
"Cherkaska, UA","Терлиця, UA","Monastyryshchenskyi, UA","19135, UA"
"Cherkaska, UA","Халаїдове, UA","Monastyryshchenskyi, UA","19136, UA"
"Cherkaska, UA","Вільна, UA","Monastyryshchenskyi, UA","19137, UA"
"Cherkaska, UA","Дібрівка, UA","Monastyryshchenskyi, UA","19138, UA"
"Cherkaska, UA","Покровка, UA","Monastyryshchenskyi, UA","19139, UA"
"Cherkaska, UA","Копіювата, UA","Monastyryshchenskyi, UA","19140, UA"
"Cherkaska, UA","Теолин, UA","Monastyryshchenskyi, UA","19141, UA"
"Cherkaska, UA","Леськове, UA","Monastyryshchenskyi, UA","19142, UA"
"Cherkaska, UA","Матвіїха, UA","Monastyryshchenskyi, UA","19143, UA"
