state,city,town,zip
"England, GB","Pollington, ENG","East Riding of Yorkshire, ENG","DN14, ENG"
"England, GB","Yokefleet, ENG","East Riding of Yorkshire, ENG","DN14, ENG"
"England, GB","Hook, ENG","East Riding of Yorkshire, ENG","DN14, ENG"
"England, GB","Skelton, ENG","East Riding of Yorkshire, ENG","DN14, ENG"
"England, GB","Ousefleet, ENG","East Riding of Yorkshire, ENG","DN14, ENG"
"England, GB","Reedness, ENG","East Riding of Yorkshire, ENG","DN14, ENG"
"England, GB","Rawcliffe, ENG","East Riding of Yorkshire, ENG","DN14, ENG"
"England, GB","Goole, ENG","East Riding of Yorkshire, ENG","DN14, ENG"
"England, GB","Eastrington, ENG","East Riding of Yorkshire, ENG","DN14, ENG"
"England, GB","Kilpin, ENG","East Riding of Yorkshire, ENG","DN14, ENG"
"England, GB","Swinefleet, ENG","East Riding of Yorkshire, ENG","DN14, ENG"
"England, GB","Spaldington, ENG","East Riding of Yorkshire, ENG","DN14, ENG"
"England, GB","Howden, ENG","East Riding of Yorkshire, ENG","DN14, ENG"
"England, GB","Balkholme, ENG","East Riding of Yorkshire, ENG","DN14, ENG"
"England, GB","Adlingfleet, ENG","East Riding of Yorkshire, ENG","DN14, ENG"
"England, GB","Faxfleet, ENG","East Riding of Yorkshire, ENG","DN14, ENG"
"England, GB","Laxton, ENG","East Riding of Yorkshire, ENG","DN14, ENG"
"England, GB","Saltmarshe, ENG","East Riding of Yorkshire, ENG","DN14, ENG"
"England, GB","Snaith, ENG","East Riding of Yorkshire, ENG","DN14, ENG"
"England, GB","Whitgift, ENG","East Riding of Yorkshire, ENG","DN14, ENG"
"England, GB","Gowdall, ENG","East Riding of Yorkshire, ENG","DN14, ENG"
"England, GB","Gribthorpe, ENG","East Riding of Yorkshire, ENG","DN14, ENG"
"England, GB","Low Eggborough, ENG","East Riding of Yorkshire, ENG","DN14, ENG"
"England, GB","Rawcliffe Bridge, ENG","East Riding of Yorkshire, ENG","DN14, ENG"
"England, GB","Bellasize, ENG","East Riding of Yorkshire, ENG","DN14, ENG"
"England, GB","East Cowick, ENG","East Riding of Yorkshire, ENG","DN14, ENG"
"England, GB","Old Goole, ENG","East Riding of Yorkshire, ENG","DN14, ENG"
"England, GB","Newsholme, ENG","East Riding of Yorkshire, ENG","DN14, ENG"
"England, GB","Knedlington, ENG","East Riding of Yorkshire, ENG","DN14, ENG"
"England, GB","Asselby, ENG","East Riding of Yorkshire, ENG","DN14, ENG"
"England, GB","Barmby on the Marsh, ENG","East Riding of Yorkshire, ENG","DN14, ENG"
"England, GB","Airmyn, ENG","East Riding of Yorkshire, ENG","DN14, ENG"
"England, GB","Blacktoft, ENG","East Riding of Yorkshire, ENG","DN14, ENG"
"England, GB","Kingston upon Hull, ENG","East Riding of Yorkshire, ENG","HU1, ENG"
"England, GB","Willerby, ENG","East Riding of Yorkshire, ENG","HU10, ENG"
"England, GB","Kirk Ella, ENG","East Riding of Yorkshire, ENG","HU10, ENG"
"England, GB","Anlaby, ENG","East Riding of Yorkshire, ENG","HU10, ENG"
"England, GB","Goxhill, ENG","East Riding of Yorkshire, ENG","HU11, ENG"
