state,city,town,zip
"Alaska, US","Akutan, AK","Aleutians East, AK","99553, AK"
"Alaska, US","Cold Bay, AK","Aleutians East, AK","99571, AK"
"Alaska, US","False Pass, AK","Aleutians East, AK","99583, AK"
"Alaska, US","King Cove, AK","Aleutians East, AK","99612, AK"
"Alaska, US","Sand Point, AK","Aleutians East, AK","99661, AK"
"Alaska, US","Adak, AK","Aleutians West (CA), AK","99546, AK"
"Alaska, US","Atka, AK","Aleutians West (CA), AK","99547, AK"
"Alaska, US","Saint George Island, AK","Aleutians West (CA), AK","99591, AK"
"Alaska, US","Nikolski, AK","Aleutians West (CA), AK","99638, AK"
"Alaska, US","Saint Paul Island, AK","Aleutians West (CA), AK","99660, AK"
"Alaska, US","Unalaska, AK","Aleutians West (CA), AK","99685, AK"
"Alaska, US","Dutch Harbor, AK","Aleutians West (CA), AK","99692, AK"
"Alaska, US","Anchorage, AK","Anchorage Municipality, AK","99501, AK"
"Alaska, US","Anchorage, AK","Anchorage Municipality, AK","99502, AK"
"Alaska, US","Anchorage, AK","Anchorage Municipality, AK","99503, AK"
"Alaska, US","Anchorage, AK","Anchorage Municipality, AK","99504, AK"
"Alaska, US","Jber, AK","Anchorage Municipality, AK","99505, AK"
"Alaska, US","Jber, AK","Anchorage Municipality, AK","99506, AK"
"Alaska, US","Anchorage, AK","Anchorage Municipality, AK","99507, AK"
"Alaska, US","Anchorage, AK","Anchorage Municipality, AK","99508, AK"
"Alaska, US","Anchorage, AK","Anchorage Municipality, AK","99509, AK"
"Alaska, US","Anchorage, AK","Anchorage Municipality, AK","99510, AK"
"Alaska, US","Anchorage, AK","Anchorage Municipality, AK","99511, AK"
"Alaska, US","Anchorage, AK","Anchorage Municipality, AK","99513, AK"
"Alaska, US","Anchorage, AK","Anchorage Municipality, AK","99514, AK"
"Alaska, US","Anchorage, AK","Anchorage Municipality, AK","99515, AK"
"Alaska, US","Anchorage, AK","Anchorage Municipality, AK","99516, AK"
"Alaska, US","Anchorage, AK","Anchorage Municipality, AK","99517, AK"
"Alaska, US","Anchorage, AK","Anchorage Municipality, AK","99518, AK"
"Alaska, US","Anchorage, AK","Anchorage Municipality, AK","99519, AK"
"Alaska, US","Anchorage, AK","Anchorage Municipality, AK","99520, AK"
"Alaska, US","Anchorage, AK","Anchorage Municipality, AK","99521, AK"
"Alaska, US","Anchorage, AK","Anchorage Municipality, AK","99522, AK"
"Alaska, US","Anchorage, AK","Anchorage Municipality, AK","99523, AK"
"Alaska, US","Anchorage, AK","Anchorage Municipality, AK","99524, AK"
"Alaska, US","Anchorage, AK","Anchorage Municipality, AK","99529, AK"
"Alaska, US","Anchorage, AK","Anchorage Municipality, AK","99530, AK"
"Alaska, US","Indian, AK","Anchorage Municipality, AK","99540, AK"
"Alaska, US","Chugiak, AK","Anchorage Municipality, AK","99567, AK"
"Alaska, US","Eagle River, AK","Anchorage Municipality, AK","99577, AK"
"Alaska, US","Girdwood, AK","Anchorage Municipality, AK","99587, AK"
"Alaska, US","Anchorage, AK","Anchorage Municipality, AK","99599, AK"
"Alaska, US","Anchorage, AK","Anchorage Municipality, AK","99695, AK"
"Alaska, US","Kongiganak, AK","Bethel Census Area, AK","99545, AK"
"Alaska, US","Akiachak, AK","Bethel Census Area, AK","99551, AK"
"Alaska, US","Akiak, AK","Bethel Census Area, AK","99552, AK"
"Alaska, US","Aniak, AK","Bethel Census Area, AK","99557, AK"
"Alaska, US","Bethel, AK","Bethel Census Area, AK","99559, AK"
"Alaska, US","Chefornak, AK","Bethel Census Area, AK","99561, AK"
"Alaska, US","Crooked Creek, AK","Bethel Census Area, AK","99575, AK"
"Alaska, US","Eek, AK","Bethel Census Area, AK","99578, AK"
"Alaska, US","Goodnews Bay, AK","Bethel Census Area, AK","99589, AK"
"Alaska, US","Kalskag, AK","Bethel Census Area, AK","99607, AK"
"Alaska, US","Kasigluk, AK","Bethel Census Area, AK","99609, AK"
"Alaska, US","Kipnuk, AK","Bethel Census Area, AK","99614, AK"
"Alaska, US","Kwethluk, AK","Bethel Census Area, AK","99621, AK"
"Alaska, US","Kwigillingok, AK","Bethel Census Area, AK","99622, AK"
"Alaska, US","Lower Kalskag, AK","Bethel Census Area, AK","99626, AK"
"Alaska, US","Mekoryuk, AK","Bethel Census Area, AK","99630, AK"
"Alaska, US","Napakiak, AK","Bethel Census Area, AK","99634, AK"
"Alaska, US","Toksook Bay, AK","Bethel Census Area, AK","99637, AK"
"Alaska, US","Nunapitchuk, AK","Bethel Census Area, AK","99641, AK"
"Alaska, US","Platinum, AK","Bethel Census Area, AK","99651, AK"
"Alaska, US","Quinhagak, AK","Bethel Census Area, AK","99655, AK"
"Alaska, US","Red Devil, AK","Bethel Census Area, AK","99656, AK"
"Alaska, US","Sleetmute, AK","Bethel Census Area, AK","99668, AK"
"Alaska, US","Tuluksak, AK","Bethel Census Area, AK","99679, AK"
"Alaska, US","Tuntutuliak, AK","Bethel Census Area, AK","99680, AK"
"Alaska, US","Tununak, AK","Bethel Census Area, AK","99681, AK"
"Alaska, US","Nightmute, AK","Bethel Census Area, AK","99690, AK"
"Alaska, US","King Salmon, AK","Bristol Bay, AK","99613, AK"
"Alaska, US","Naknek, AK","Bristol Bay, AK","99633, AK"
"Alaska, US","South Naknek, AK","Bristol Bay, AK","99670, AK"
"Alaska, US","Clear, AK","Denali, AK","99704, AK"
"Alaska, US","Cantwell, AK","Denali, AK","99729, AK"
"Alaska, US","Healy, AK","Denali, AK","99743, AK"
