state,city,zip
"Artigas, UY","Limite Contestado, UY","40200, UY"
"Artigas, UY","Sarandi De Yacuy, UY","50200, UY"
"Artigas, UY","Baltasar Brum, UY","55000, UY"
"Artigas, UY","Tamandua, UY","55000, UY"
"Artigas, UY","Chiflero, UY","55000, UY"
"Artigas, UY","Patitas, UY","55000, UY"
"Artigas, UY","Colonia Pintado, UY","55000, UY"
"Artigas, UY","Pintadito, UY","55000, UY"
"Artigas, UY","Fagundez, UY","55000, UY"
"Artigas, UY","Javier De Viana, UY","55000, UY"
"Artigas, UY","Sarandi De Cuaro, UY","55000, UY"
"Artigas, UY","Piedra Pintada, UY","55000, UY"
"Artigas, UY","Cerrito, UY","55000, UY"
"Artigas, UY","Catalan Volcan, UY","55000, UY"
"Artigas, UY","Estiba, UY","55000, UY"
"Artigas, UY","Meneses, UY","55000, UY"
"Artigas, UY","Guyubira, UY","55000, UY"
"Artigas, UY","Artigas, UY","55000, UY"
"Artigas, UY","Sequeira, UY","55000, UY"
"Artigas, UY","Catalan Grande, UY","55000, UY"
"Artigas, UY","Paso De Ramos, UY","55000, UY"
"Artigas, UY","Camaño, UY","55000, UY"
"Artigas, UY","Cerro San Eugenio, UY","55000, UY"
"Artigas, UY","Colonia Jose Artigas, UY","55000, UY"
"Artigas, UY","Topador, UY","55000, UY"
"Artigas, UY","Taruman, UY","55000, UY"
"Artigas, UY","Pintado, UY","55000, UY"
"Artigas, UY","Cerro Signorelli, UY","55000, UY"
"Artigas, UY","Zanja Aruera, UY","55000, UY"
"Artigas, UY","Cerro Ejido, UY","55000, UY"
"Artigas, UY","Diego Lamas, UY","55000, UY"
"Artigas, UY","Paso Campamento, UY","55000, UY"
"Artigas, UY","Rincon De Pacheco, UY","55000, UY"
"Artigas, UY","Pintado Grande, UY","55000, UY"
"Artigas, UY","Paso De Leon, UY","55000, UY"
"Artigas, UY","Cuaro, UY","55000, UY"
"Artigas, UY","Bernabe Rivera, UY","55000, UY"
"Artigas, UY","Paso Farias, UY","55000, UY"
"Artigas, UY","Palma Sola, UY","55000, UY"
"Artigas, UY","La Bolsa, UY","55000, UY"
"Artigas, UY","Paguero, UY","55000, UY"
"Artigas, UY","Colonia Viñar, UY","55100, UY"
"Artigas, UY","Cainza Campo 3, UY","55100, UY"
"Artigas, UY","Franquia, UY","55100, UY"
"Artigas, UY","Paredon, UY","55100, UY"
"Artigas, UY","Cuareim, UY","55100, UY"
"Artigas, UY","Colonia Estrella, UY","55100, UY"
"Artigas, UY","Paso De La Cruz, UY","55100, UY"
"Artigas, UY","Port. De Hierro Y Campodonico, UY","55100, UY"
"Artigas, UY","Calnu, UY","55100, UY"
"Artigas, UY","Tomas Gomensoro, UY","55100, UY"
"Artigas, UY","Colonia Palma, UY","55100, UY"
"Artigas, UY","Colonia España, UY","55100, UY"
"Artigas, UY","Lenguazo, UY","55100, UY"
"Artigas, UY","Mones Quintela, UY","55100, UY"
"Artigas, UY","Cainsa, UY","55100, UY"
"Artigas, UY","Coronado, UY","55100, UY"
"Artigas, UY","Las Piedras, UY","55100, UY"
"Artigas, UY","Bella Union, UY","55100, UY"
"Canelones, UY","Barra De Carrasco, UY","15000, UY"
"Canelones, UY","El Bosque, UY","15000, UY"
"Canelones, UY","Shangrila, UY","15000, UY"
"Canelones, UY","Parque Carrasco, UY","15000, UY"
"Canelones, UY","Lagomar, UY","15000, UY"
"Canelones, UY","Colonia Nicolich, UY","15000, UY"
"Canelones, UY","San Jose De Carrasco, UY","15000, UY"
"Canelones, UY","Paso Carrasco, UY","15000, UY"
"Canelones, UY","Aeropuerto Internacional De Carrasco, UY","15000, UY"
"Canelones, UY","Parque Miramar, UY","15000, UY"
"Canelones, UY","Lago Jardin Del Bosque, UY","15000, UY"
"Canelones, UY","Empalme Nicolich, UY","15000, UY"
"Canelones, UY","Barrio Obrero, UY","15000, UY"
"Canelones, UY","Santa Teresita, UY","15000, UY"
"Canelones, UY","Neptunia, UY","15100, UY"
"Canelones, UY","Fortin De Santa Rosa, UY","15100, UY"
"Canelones, UY","Rincon De Pando, UY","15100, UY"
"Canelones, UY","Pinamar Y Pinepark, UY","15100, UY"
"Canelones, UY","Pine Park, UY","15100, UY"
"Canelones, UY","Villa Juana, UY","15100, UY"
"Canelones, UY","Salinas, UY","15100, UY"
"Canelones, UY","Pinamar, UY","15100, UY"
"Canelones, UY","Marindia, UY","15100, UY"
"Canelones, UY","Villa Argentina, UY","15200, UY"
"Canelones, UY","Atlantida, UY","15200, UY"
"Canelones, UY","City Golf, UY","15200, UY"
"Canelones, UY","La Chinchilla, UY","15200, UY"
"Canelones, UY","Estacion Atlantida, UY","15200, UY"
"Canelones, UY","Las Toscas, UY","15200, UY"
"Canelones, UY","Las Vegas, UY","15300, UY"
"Canelones, UY","Estacion La Floresta, UY","15300, UY"
"Canelones, UY","Guazuvira Nuevo, UY","15300, UY"
"Canelones, UY","Costa Azul, UY","15300, UY"
"Canelones, UY","Guazuvira, UY","15300, UY"
"Canelones, UY","Bello Horizonte, UY","15300, UY"
"Canelones, UY","Parque Del Plata, UY","15300, UY"
"Canelones, UY","La Floresta, UY","15300, UY"
"Canelones, UY","Araminda, UY","15400, UY"
"Canelones, UY","Los Titanes, UY","15400, UY"
"Canelones, UY","Santa Lucia Del Este, UY","15400, UY"
"Canelones, UY","Santa Ana, UY","15400, UY"
"Canelones, UY","Cuchilla Alta, UY","15400, UY"
"Canelones, UY","San Luis, UY","15400, UY"
"Canelones, UY","Piedras De Afilar, UY","15400, UY"
"Canelones, UY","Capilla De Cella, UY","15400, UY"
"Canelones, UY","El Galeon, UY","15400, UY"
"Canelones, UY","Jaureguiberry, UY","15400, UY"
"Canelones, UY","Estacion Piedras De Afilar, UY","15400, UY"
"Canelones, UY","Cuchilla Alta Y El Galeon, UY","15400, UY"
"Canelones, UY","B.H.U., UY","15400, UY"
"Canelones, UY","Argentino, UY","15400, UY"
"Canelones, UY","La Tuna, UY","15400, UY"
"Canelones, UY","Biarritz, UY","15400, UY"
"Canelones, UY","Fracc Sobre Ruta 74, UY","15500, UY"
"Canelones, UY","Villa Aeroparque, UY","15500, UY"
"Canelones, UY","Rincon De Carrasco, UY","15500, UY"
"Canelones, UY","Villa El Tato, UY","15500, UY"
"Canelones, UY","Capitan Juan Antonio Artigas, UY","15500, UY"
"Canelones, UY","Cumbres De Carrasco, UY","15500, UY"
"Canelones, UY","Colinas De Carrasco, UY","15500, UY"
"Canelones, UY","Quinta Los Horneros, UY","15500, UY"
"Canelones, UY","Joaquin Suarez, UY","15500, UY"
"Canelones, UY","La Palmita, UY","15600, UY"
"Canelones, UY","Olmos, UY","15600, UY"
"Canelones, UY","Empalme Olmos, UY","15600, UY"
"Canelones, UY","Dr. Francisco Soca, UY","15600, UY"
"Canelones, UY","Jardines De Pando, UY","15600, UY"
"Canelones, UY","Piedra Del Toro, UY","15600, UY"
"Canelones, UY","Estanque De Pando, UY","15600, UY"
"Canelones, UY","Pando, UY","15600, UY"
"Canelones, UY","Puntas De Cañada Grande, UY","15600, UY"
"Canelones, UY","La Montañesa, UY","15600, UY"
"Canelones, UY","Sosa Diaz, UY","15600, UY"
"Canelones, UY","Piedritas De Suarez, UY","15600, UY"
"Canelones, UY","Cueva Del Tigre, UY","15600, UY"
"Canelones, UY","Cañada Grande, UY","15600, UY"
"Canelones, UY","Viejo Molino San Bernardo, UY","15600, UY"
"Canelones, UY","Las Ranas, UY","15600, UY"
"Canelones, UY","Costa De Pando Olmos, UY","15600, UY"
"Canelones, UY","Villa Valverde, UY","15700, UY"
"Canelones, UY","Villa Prados De Toledo, UY","15700, UY"
"Canelones, UY","Villa San Felipe, UY","15700, UY"
"Canelones, UY","Fracc. Cno. Andaluz Y R.84, UY","15700, UY"
"Canelones, UY","Toledo, UY","15700, UY"
"Canelones, UY","Barrio Pretti, UY","15700, UY"
"Canelones, UY","Villa Hadita, UY","15700, UY"
"Canelones, UY","Lomas De Toledo, UY","15700, UY"
"Canelones, UY","Villa Huertos De Toledo, UY","15700, UY"
"Canelones, UY","Los Hornos, UY","15700, UY"
"Canelones, UY","Seis Hermanos, UY","15700, UY"
"Canelones, UY","Barrio Los Panoramas, UY","15700, UY"
"Canelones, UY","Barrio Artigas, UY","15700, UY"
"Canelones, UY","Villa Marina, UY","15700, UY"
"Canelones, UY","Villa San Jose, UY","15700, UY"
"Canelones, UY","Villa Fortuna, UY","15700, UY"
"Canelones, UY","Puntas De Toledo, UY","15700, UY"
"Canelones, UY","Barrio Benzo, UY","15700, UY"
"Canelones, UY","Casarino, UY","15700, UY"
"Canelones, UY","Nataly, UY","15700, UY"
"Canelones, UY","Villa Crespo, UY","15700, UY"
"Canelones, UY","Villa Juanita, UY","15700, UY"
"Canelones, UY","Barrio Santa Rita, UY","15700, UY"
"Canelones, UY","Barrio Villa Murcia, UY","15700, UY"
"Canelones, UY","Barrio Traverso, UY","15700, UY"
"Canelones, UY","San Andres, UY","15700, UY"
"Canelones, UY","Villa Molfino, UY","15700, UY"
"Canelones, UY","Villa Los Alpes, UY","15700, UY"
